Current Exploration,Episode Length,TD Loss,frame_number,q_val action 0,q_val action 1,q_val action 2,q_val action 3,q_val action 4,q_val action 5,training_reward
0.9558838,382.41,0.49329033,99018,0.15545824,0.14804843,0.15485623,0.15188624,0.14800549,0.15056229,133.0
0.8664669999999999,387.4,0.46306744,198370,0.21454266,0.21175574,0.19926178,0.22230674,0.1946003,0.20961808,167.0
0.7746723999999999,394.83,0.78398263,300364,0.44664767,0.44459662,0.40606478,0.45853588,0.43442878,0.43697146,201.25
0.6881175999999999,405.48,0.87756324,396536,0.59056866,0.58081186,0.5478435,0.594878,0.53745395,0.6048104,225.0
0.5972472999999998,422.22,1.2902759,497503,0.83353245,0.8376344,0.83008534,0.8320871,0.8223055,0.83320427,279.25
0.5040441999999999,432.15,1.3371685,601062,1.0563868,1.0794083,1.09695,1.0899223,1.1164159,1.0841119,305.25
0.4144266999999999,442.35,1.6849216,700637,1.2512518,1.26119,1.1932027,1.2375286,1.3179356,1.2616348,342.75
0.3243312999999999,457.8,2.0768714,800743,1.249723,1.2500035,1.2330887,1.2149715,1.1991707,1.2160625,388.25
0.23667399999999983,458.98,2.1889193,898140,1.374092,1.4043255,1.3734127,1.4046022,1.4640261,1.4179283,419.5
0.1471077999999999,455.51,2.1993837,997658,1.4833314,1.4815929,1.4878272,1.5001867,1.4382834,1.4698657,437.75
0.09990814851889683,489.2,2.23072,1099957,1.4619013,1.4656974,1.4830419,1.4472781,1.4405686,1.4947201,568.75
0.09972387742594484,513.92,2.721469,1200180,1.9193665,1.9329469,1.9404538,1.9004796,1.8540099,1.8902377,598.5
0.09954202410623085,540.35,2.0478103,1299088,2.351962,2.368771,2.369399,2.3513925,2.308495,2.374121,593.25
0.09935587946884576,503.04,3.371539,1400330,2.6393163,2.6323018,2.572836,2.643436,2.5783448,2.6880755,575.5
0.0991726049029622,540.21,3.9377801,1500011,1.9704211,1.9625174,2.0003023,1.9882009,1.9993244,2.0201209,612.0
0.09898794402451482,519.23,4.057337,1600446,2.477259,2.482718,2.4571466,2.4763284,2.3532991,2.4725823,460.0
0.09880122941777324,537.94,4.207815,1701998,2.3566275,2.359692,2.3715951,2.3630676,2.1653214,2.344441,476.0
