action_prob 0,action_prob 1,action_prob 2,action_prob 3,action_prob 4,action_prob 5,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 2,q_val_action 3,q_val_action 4,q_val_action 5,td_loss,training_reward
0.038359247,0.017331874,0.018823666,0.023450106,0.04539827,0.025936022,1.0,389.2,0.0,0,7784,0.19309407,-0.10982628,-0.065313175,0.21518314,0.13864589,0.011561051,0,178.75
0.038359247,0.017331874,0.018823666,0.023450106,0.04539827,0.025936022,1.0,399.625,0.0,0,15985,0.19309407,-0.10982628,-0.065313175,0.21518314,0.13864589,0.011561051,0,198.75
0.038359247,0.017331874,0.018823666,0.023450106,0.04539827,0.025936022,1.0,397.23333333333335,0.0,0,23834,0.19309407,-0.10982628,-0.065313175,0.21518314,0.13864589,0.011561051,0,201.66666666666666
0.038359247,0.017331874,0.018823666,0.023450106,0.04539827,0.025936022,1.0,393.925,0.0,0,31514,0.19309407,-0.10982628,-0.065313175,0.21518314,0.13864589,0.011561051,0,192.5
0.038359247,0.017331874,0.018823666,0.023450106,0.04539827,0.025936022,1.0,387.01,0.0,0,38701,0.19309407,-0.10982628,-0.065313175,0.21518314,0.13864589,0.011561051,0,178.5
0.038359247,0.017331874,0.018823666,0.023450106,0.04539827,0.025936022,1.0,381.96,0.0,0,45980,0.19309407,-0.10982628,-0.065313175,0.21518314,0.13864589,0.011561051,0,167.5
0.0586492,0.0007996384,0.013916524,0.00027110864,0.0040407353,0.0018430811,0.9967158999999999,376.64,0.0,-0.17795879,53649,-0.50194114,-1.0831922,1.7547946,-2.1298602,0.46203688,-0.29264435,260.46585,154.0
0.14284366,0.0035410295,0.0031153474,0.003725284,0.0034703626,0.0035970353,0.9896679999999999,376.46,0.0,-0.22763534,61480,-0.10440667,-0.01643869,-0.13633287,0.02421642,-0.09268763,-0.04197248,256.0145,151.75
0.13807236,0.007138894,0.006078656,0.005722884,0.006601943,0.006215485,0.9828558999999999,375.35,0.0,-0.24420834,69049,-0.16866598,-0.08972827,-0.2363578,-0.29794785,-0.15010515,-0.22862844,117.93774,156.5
0.01573495,0.0015471905,0.0007138599,0.0006308109,0.0008670602,0.049644858,0.9761085999999999,378.45,0.0,-0.2511721,76546,0.16010576,0.4240516,-0.33621678,-0.47257882,-0.13799638,3.8987892,326.45425,160.75
0.07762154,0.015173487,0.014958387,0.01146691,0.01393746,0.009708164,0.9693109,381.19,0.0,-0.25516635,84099,-0.04453209,0.44818556,0.43931556,0.17019606,0.3794681,0.016204441,265.55603,165.25
0.09644537,0.008256738,0.0061624064,0.007966509,0.007920963,0.0058104233,0.9619488999999999,386.3,0.0,-0.24673583,92279,-0.56208223,-0.0708798,-0.3498755,-0.09221989,-0.08684752,-0.4152434,401.52487,182.0
0.15551853,0.006976106,0.0052711186,0.011096132,0.008378249,0.00808938,0.9549648999999999,385.59,0.0,-0.25313497,100039,-0.21569584,-0.63385457,-0.90267587,-0.15628777,-0.42299962,-0.4667027,0.93983495,181.75
0.08705414,0.020259585,0.014495406,0.016328517,0.015500431,0.018305313,0.9482580999999999,384.42,0.0,-0.25694704,107491,-0.20043525,-0.13404457,-0.4556013,-0.33128917,-0.377418,-0.21770462,127.40938,172.0
0.002048868,9.464744e-05,0.00020874185,0.04782776,8.8718945e-05,8.915029e-05,0.9412723,387.07,0.0,-0.24283388,115253,-0.25881594,-0.55866456,0.22810286,5.645268,-0.6287309,-0.6329058,3944.9097,173.5
0.0003291049,0.00010293944,1.0390816e-05,6.0091446e-07,5.170098e-07,0.06348878,0.9344277999999999,387.59,0.0,-0.24950247,122858,3.7143645,4.957403,2.6439373,-0.21655956,-0.33898398,11.353651,21422.873,182.75
0.09405291,0.008098563,0.0055573983,0.01535381,0.006231603,0.028189408,0.9277200999999999,380.32,0.0,-0.25105998,130311,-0.6301817,-0.94920945,-1.3165915,-0.33108118,-1.2206525,0.29967368,441.3756,176.0
0.081542484,0.015724894,0.018601732,0.017033068,0.018751333,0.010896932,0.9211609,375.6,0.0,-0.2491624,137599,-0.4633517,-0.42208496,-0.2560961,-0.35005674,-0.23886332,-0.772492,883.3537,161.0
0.04918593,0.01776702,0.0007364126,0.00031990613,0.015176037,0.02242533,0.9140796999999999,379.76,0.0,-0.24763498,145467,2.279891,3.685995,0.52107406,-0.31748718,3.5360641,3.9504542,36.924583,171.75
0.051914018,0.021789165,0.0066800476,3.61033e-06,0.018103208,0.006785804,0.9070731999999999,379.99,0.0,-0.24875048,153252,7.891958,9.534132,8.347569,0.8246966,9.359017,8.379548,15.482372,173.25
