action_prob 0,action_prob 1,action_prob 2,action_prob 3,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 2,q_val_action 3,td_loss,training_reward
0.1404443,0.19083996,0.3727441,0.29597157,1.0,217.4,0.0,0,4348,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.5
0.1404443,0.19083996,0.3727441,0.29597157,1.0,220.15,0.0,0,8806,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.525
0.1404443,0.19083996,0.3727441,0.29597157,1.0,212.2,0.0,0,12732,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.3
0.1404443,0.19083996,0.3727441,0.29597157,1.0,211.625,0.0,0,16930,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.275
0.1404443,0.19083996,0.3727441,0.29597157,1.0,209.65,0.0,0,20965,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.23
0.1404443,0.19083996,0.3727441,0.29597157,1.0,206.97,0.0,0,25045,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.17
0.1404443,0.19083996,0.3727441,0.29597157,1.0,205.79,0.0,0,29385,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.12
0.1404443,0.19083996,0.3727441,0.29597157,1.0,211.94,0.0,0,33926,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.27
0.1404443,0.19083996,0.3727441,0.29597157,1.0,208.36,0.0,0,37766,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.19
0.1404443,0.19083996,0.3727441,0.29597157,1.0,211.4,0.0,0,42105,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.28
0.1404443,0.19083996,0.3727441,0.29597157,1.0,214.1,0.0,0,46455,-0.5526786,-0.24605423,0.4234027,0.19277394,0,1.32
0.24111192,0.26124728,0.24839242,0.24924845,0.9995364999999999,211.3,0.0,1.3302095,50515,0.33047494,0.410681,0.36022353,0.36366382,1.1116475,1.28
0.2348845,0.30126312,0.22767505,0.23617733,0.9960174999999999,204.99,0.0,1.1150312,54425,0.23741567,0.4863058,0.20624115,0.24290466,1.0364335,1.14
0.26772055,0.22575867,0.25081775,0.255703,0.9920962,210.16,0.0,1.1203754,58782,0.16041023,-0.010066859,0.09519306,0.114483126,1.0679709,1.25
0.2296246,0.2871608,0.23890625,0.24430832,0.98803,211.95,0.0,0.9979347,63300,-0.2931629,-0.06956627,-0.25353742,-0.23117766,1.0046706,1.26
0.22301775,0.29880905,0.23758931,0.24058388,0.9844947999999999,207.73,0.0,0.9278797,67228,-0.33914062,-0.046587277,-0.27584836,-0.26332316,1.0045786,1.18
0.24732482,0.27100018,0.23695228,0.24472271,0.9806841999999999,209.47,0.0,0.881167,71462,-0.2323265,-0.1409096,-0.27517033,-0.24290317,1.0022533,1.2
0.23125556,0.29627946,0.23755436,0.23491065,0.9766512999999999,215.18,0.0,0.8559704,75943,-0.30259722,-0.054817557,-0.27572414,-0.28691542,1.0028352,1.3
0.24107128,0.27600557,0.24809158,0.23483156,0.9728073999999999,214.32,0.0,0.8517495,80214,-0.2799083,-0.14457989,-0.25120297,-0.30613244,1.0011191,1.32
0.19292796,0.33714786,0.23727308,0.23265107,0.9694737999999999,206.18,0.0,0.80684644,83918,-0.46376508,0.094439656,-0.25687012,-0.27654213,1.0027738,1.16
0.22611801,0.2980893,0.24114908,0.23464365,0.9659196999999999,206.39,0.0,0.78220797,87867,-0.37023973,-0.093903765,-0.30588147,-0.33322883,1.001501,1.17
0.21222551,0.30676025,0.2462533,0.23476097,0.9621477999999999,205.96,0.0,0.7442157,92058,-0.43100104,-0.06258408,-0.2822899,-0.33008265,1.0018685,1.17
0.20287444,0.30126217,0.25701183,0.23885156,0.9581454999999999,205.62,0.0,0.75329536,96505,-0.48340312,-0.08800953,-0.24686825,-0.32014817,1.0023494,1.21
0.20867786,0.30435044,0.25740924,0.22956248,0.9544356999999999,204.13,0.7666666666666667,0.70785475,100627,-0.40566224,-0.0282743,-0.19578677,-0.3102789,1.0014503,1.17
0.23479481,0.23815863,0.26174346,0.2653031,0.9502542999999999,213.55,0.7666666666666667,0.71305954,105273,-0.30081195,-0.28658706,-0.19215907,-0.17865103,1.0023522,1.35
0.22892596,0.2642578,0.25007358,0.25674266,0.9462978999999999,218.02,0.7666666666666667,0.6668304,109669,-0.28049594,-0.1369695,-0.19213934,-0.16582033,1.0020345,1.41
0.23795706,0.2698202,0.25589308,0.23632964,0.9426834999999999,216.27,0.7666666666666667,0.6454269,113685,-0.26081988,-0.13515432,-0.18815045,-0.26768252,1.0018318,1.37
0.20664188,0.29073468,0.26015782,0.24246567,0.9390141999999999,212.57,0.7666666666666667,0.60389996,117762,-0.38325015,-0.041826367,-0.15294889,-0.22337724,0.9997461,1.27
0.22160688,0.27082637,0.24512231,0.26244444,0.9348633999999999,217.47,0.7666666666666667,0.5928807,122374,-0.30595177,-0.10537881,-0.20509934,-0.13681737,1.0024854,1.36
0.21464238,0.30740064,0.23944362,0.23851338,0.9308511999999999,215.59,0.7666666666666667,0.58359987,126832,-0.3093427,0.049835812,-0.19999814,-0.2038907,1.0010135,1.34
0.18507893,0.305598,0.27257484,0.23674825,0.9269668,214.79,0.7666666666666667,0.55525094,131148,-0.38879114,0.112696946,-0.0016603954,-0.14257614,1.0017658,1.36
0.22526887,0.28414577,0.2546131,0.23597232,0.9235755999999999,212.31,0.7666666666666667,0.5301032,134916,-0.23133828,0.0008544028,-0.10888784,-0.18491842,1.0017649,1.32
0.21063983,0.30268425,0.25848752,0.2281884,0.9196380999999999,215.29,0.7666666666666667,0.5210802,139291,-0.3051029,0.057437453,-0.10040519,-0.22508101,1.0022258,1.39
0.21580967,0.29697183,0.24185286,0.2453657,0.9160839999999999,208.66,0.7666666666666667,0.45404252,143240,-0.28054327,0.03869703,-0.16661064,-0.15219046,1.002514,1.26
0.209278,0.2819749,0.2556071,0.25313997,0.9125136999999999,203.75,0.7666666666666667,0.45918193,147207,-0.30687654,-0.008721963,-0.10689855,-0.1165974,1.0025901,1.13
0.17445984,0.38541946,0.23004569,0.21007499,0.9088002999999999,201.85,0.7666666666666667,0.4658029,151333,-0.24829063,0.544347,0.0282928,-0.062520616,1.005308,1.09
0.1981293,0.39324012,0.20993,0.19870062,0.9052380999999999,203.75,0.7666666666666667,0.43127233,155291,-0.12576114,0.5597394,-0.06790682,-0.12288172,1.003661,1.16
0.1821226,0.37971804,0.2207135,0.21744587,0.9018856,197.25,0.7666666666666667,0.41076705,159016,-0.18661602,0.5481329,0.005569471,-0.0093462,1.0042745,1.02
0.19106716,0.33046675,0.25436983,0.22409628,0.8982028,198.68,0.7666666666666667,0.3904257,163108,-0.13005891,0.41782218,0.15610547,0.029392054,1.0061898,1.04
0.17926696,0.35321847,0.24767333,0.21984123,0.8944363,200.86,0.7666666666666667,0.39290237,167293,-0.14553952,0.5326711,0.17769507,0.05849008,1.0078361,1.12
0.18305266,0.41025832,0.22249345,0.1841956,0.8906877999999999,201.25,0.7666666666666667,0.381547,171458,-0.18326241,0.6237508,0.011861471,-0.17703807,1.0045743,1.09
0.17145714,0.3987777,0.25242963,0.17733552,0.8870887,201.66,0.7666666666666667,0.34234542,175457,-0.2590718,0.58499897,0.12772742,-0.22536159,1.0036677,1.07
0.19646753,0.3279603,0.2448095,0.2307627,0.8830377999999999,209.42,0.7666666666666667,0.3510547,179958,-0.30785713,0.20453823,-0.08787405,-0.1469644,1.0049776,1.23
0.19194083,0.38225558,0.24391825,0.18188529,0.8788239999999999,215.32,0.7666666666666667,0.33464092,184640,-0.24357045,0.4453319,-0.003924437,-0.2973813,1.0060998,1.36
0.18945453,0.36379716,0.24697088,0.19977751,0.8753365,212.22,0.7666666666666667,0.3091969,188515,-0.21335967,0.4390878,0.051761873,-0.16030423,1.0048399,1.27
0.20352536,0.34631157,0.24591507,0.20424801,0.8717716,210.18,0.7666666666666667,0.3110152,192476,-0.13292634,0.39862177,0.056269236,-0.12938203,1.0064154,1.22
0.18881784,0.36816502,0.2511915,0.19182566,0.8681706999999999,210.2,0.7666666666666667,0.27448624,196477,-0.19814113,0.46960726,0.08729161,-0.18233705,1.0046419,1.24
0.20789541,0.32170463,0.2715989,0.1988011,0.8644464999999999,206.57,1.5098039215686274,0.27972853,200615,-0.07368337,0.36291525,0.19360784,-0.11841367,1.00879,1.18
0.18877086,0.37204728,0.2665432,0.17263873,0.8604432999999999,204.23,1.5098039215686274,0.2748764,205063,-0.23175925,0.44672775,0.11324314,-0.32109207,1.0089549,1.11
0.22050764,0.37249315,0.22170514,0.18529414,0.8567524,206.49,1.5098039215686274,0.25169152,209164,-0.07960748,0.44467887,-0.07419142,-0.25359526,1.0073949,1.17
