action_prob 0,action_prob 1,action_prob 10,action_prob 11,action_prob 12,action_prob 13,action_prob 14,action_prob 15,action_prob 16,action_prob 17,action_prob 2,action_prob 3,action_prob 4,action_prob 5,action_prob 6,action_prob 7,action_prob 8,action_prob 9,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 10,q_val_action 11,q_val_action 12,q_val_action 13,q_val_action 14,q_val_action 15,q_val_action 16,q_val_action 17,q_val_action 2,q_val_action 3,q_val_action 4,q_val_action 5,q_val_action 6,q_val_action 7,q_val_action 8,q_val_action 9,td_loss,training_reward
0.006170546,0.0046173893,0.0022878658,0.0028217784,0.003916501,0.0034411573,0.003790658,0.0028304835,0.0024263058,0.002469348,0.0029886728,0.0044526323,0.002574985,0.0012030118,0.0010527117,0.0028145728,0.0025089649,0.0032619792,1.0,624.5,0.0,0,12490,0.5884625,-0.09756495,-0.056260914,-0.16336367,0.15813832,0.043646492,0.18880513,-0.26924145,-0.14700025,-0.5176172,-0.27571538,0.26652774,-0.17453375,-0.25354245,-0.4651333,0.2443696,-0.24796452,0.15817605,0,85.0
0.006170546,0.0046173893,0.0022878658,0.0028217784,0.003916501,0.0034411573,0.003790658,0.0028304835,0.0024263058,0.002469348,0.0029886728,0.0044526323,0.002574985,0.0012030118,0.0010527117,0.0028145728,0.0025089649,0.0032619792,1.0,633.35,0.0,0,25334,0.5884625,-0.09756495,-0.056260914,-0.16336367,0.15813832,0.043646492,0.18880513,-0.26924145,-0.14700025,-0.5176172,-0.27571538,0.26652774,-0.17453375,-0.25354245,-0.4651333,0.2443696,-0.24796452,0.15817605,0,83.5
0.006170546,0.0046173893,0.0022878658,0.0028217784,0.003916501,0.0034411573,0.003790658,0.0028304835,0.0024263058,0.002469348,0.0029886728,0.0044526323,0.002574985,0.0012030118,0.0010527117,0.0028145728,0.0025089649,0.0032619792,1.0,642.3,0.0,0,38538,0.5884625,-0.09756495,-0.056260914,-0.16336367,0.15813832,0.043646492,0.18880513,-0.26924145,-0.14700025,-0.5176172,-0.27571538,0.26652774,-0.17453375,-0.25354245,-0.4651333,0.2443696,-0.24796452,0.15817605,0,87.66666666666667
0.00033351433,0.0020384698,0.0010385442,0.0036656405,0.0009084857,0.0018951789,0.002730918,0.00062020903,0.006397966,0.00037237842,0.00032180053,0.0003229405,0.0013582588,0.00022270733,0.003717754,0.022606133,0.0023444062,0.004138498,0.9984474999999999,646.5625,0.0,1.8723313,51725,0.027238017,-0.0137183,0.03577841,0.041534662,-0.005160659,-0.0008557079,-0.083578624,-0.025405416,-0.016613258,0.18512484,0.07342015,0.045759913,-0.023881359,0.057043914,0.016033795,0.030072005,0.043631796,0.028425578,0.2579339,89.75
0.00038491827,0.0007703716,0.0007272398,0.003057583,0.0009326897,0.0012362254,0.00180492,0.0004647454,0.0028283081,0.00023004925,0.00023810024,0.00018995155,0.0007756292,8.7499015e-05,0.0019147532,0.034051873,0.003681693,0.0017056413,0.9870813999999999,643.54,0.0,1.282911,64354,0.000478287,-0.018867858,-0.02098316,-0.025503471,-0.034582384,-0.026707659,-0.033399895,-0.004799653,-0.016500097,-0.022524374,0.035302535,-0.055950083,-0.024901794,-0.016840007,-0.020112578,-0.032224108,-0.037001222,-0.025847396,0.1984682,90.4
0.00082318153,0.0004412523,0.0007050086,0.0034632983,0.00080804445,0.0026173515,0.0023912052,0.00040314227,0.0028538716,0.00037009787,0.00045546977,0.0004540658,0.0007380891,0.00015735092,0.0023480786,0.03074235,0.0043813144,0.0013842144,0.9757800999999999,644.21,0.0,0.79369104,76911,-0.038594306,-0.027093483,-0.031532187,-0.05274572,-0.038859818,-0.02812346,-0.040368594,-0.03928009,-0.02036375,-0.014810085,-0.02601002,-0.03677968,-0.030266348,-0.01470814,-0.05255678,-0.028680423,-0.049312834,-0.019450082,0.2317003,89.8
0.0013125407,0.0007561026,0.0006572348,0.004704003,0.0014738971,0.0028407183,0.0012779473,0.0005132168,0.002446582,0.00036154862,0.0005308551,0.00055170973,0.00096277543,0.00018329169,0.005165706,0.02480627,0.006104528,0.0009703312,0.9654012999999999,631.09,0.0,0.60244155,88443,-0.018158663,-0.012860182,-0.0020249789,-0.017089503,-0.02063047,-0.0141612375,-0.03172637,-0.0156651,-0.0040836087,-0.009954549,-0.015093293,-0.01065663,-0.014571166,-0.010820799,-0.025202341,-0.010739775,-0.009272192,-0.022334022,0.20727201,88.6
0.0005288216,0.00028331106,0.00021370972,0.0015408153,0.00015225417,0.0024546704,0.0010102914,0.00016225204,0.0013025391,0.00011005512,0.00012830582,0.00012858037,0.000585733,3.3630255e-05,0.0038288834,0.039991543,0.002627329,0.0012506073,0.9541449999999999,624.12,84.0,0.61024994,100950,-0.066200934,-0.063634925,-0.044814724,-0.07816904,-0.07183614,-0.08281597,-0.07632462,-0.06817587,-0.06733474,-0.07628465,-0.08269608,-0.059214417,-0.045280218,-0.06411901,-0.057743292,-0.045040023,-0.08656005,-0.061145253,0.20190269,89.6
0.0006277295,0.00040930384,0.00026391455,0.0016318085,0.00018618535,0.0025389388,0.0011952806,0.00019766258,0.0018584027,9.715609e-05,0.00011959378,9.8480145e-05,0.0005545939,7.2448995e-05,0.0028164082,0.03944959,0.0028921016,0.0010565752,0.9429949,616.14,84.0,0.55801547,113339,-0.08447441,-0.06209323,-0.07697011,-0.08705272,-0.06590983,-0.06283625,-0.08880241,-0.071576685,-0.09346464,-0.10632016,-0.08124567,-0.09317559,-0.07796101,-0.0737199,-0.068241596,-0.06574624,-0.08179447,-0.07158685,0.16760334,87.8
0.0005418971,0.0005030448,0.00013264277,0.0014709095,3.906464e-05,0.0037953665,0.0009129472,8.634566e-05,0.0009991854,4.511581e-05,5.912466e-05,4.0740244e-05,0.0006818125,0.00012119413,0.0012253147,0.04229025,0.0025924228,0.000292684,0.9318268,613.94,84.0,0.6218224,125748,-0.105825864,-0.08034393,-0.0951387,-0.09993124,-0.088347,-0.08818783,-0.09237365,-0.081159554,-0.082735874,-0.10576893,-0.08982861,-0.07992553,-0.08931162,-0.09169818,-0.07714025,-0.08311192,-0.095225655,-0.09094097,0.11253275,84.4
0.000865385,0.0004157065,0.00017479128,0.0023666308,5.328617e-05,0.0026474972,0.002296193,9.4581635e-05,0.0022365844,4.2093438e-05,8.4454405e-05,5.335639e-05,0.0007996297,8.42604e-05,0.0029587895,0.038195953,0.0021144103,0.00027880666,0.9217099,600.78,84.0,0.6236149,136989,-0.09249524,-0.09060587,-0.13037853,-0.10613774,-0.099106945,-0.1257948,-0.08957245,-0.08828207,-0.09479719,-0.11947644,-0.102667116,-0.10712708,-0.09296867,-0.10544671,-0.11408619,-0.09480787,-0.09323172,-0.0769948,0.20795514,82.2
0.0009941005,0.00064629543,6.819697e-05,0.0013426357,2.072014e-05,0.0035277521,0.0015635899,6.348e-05,0.0009179189,3.5796118e-05,5.1894815e-05,4.079457e-05,0.0011806926,0.00032173403,0.0009087589,0.039038178,0.0045454917,0.00012441649,0.9105624999999999,609.32,84.0,0.71848506,149375,-0.13692659,-0.12050792,-0.12598577,-0.12750341,-0.10659603,-0.12828344,-0.11282861,-0.12098839,-0.12677349,-0.12579115,-0.107091874,-0.13384594,-0.10934533,-0.12174845,-0.114800476,-0.1256581,-0.13259736,-0.13300565,0.1553124,84.6
0.0014809252,0.0005952959,6.451058e-05,0.0017005219,4.341753e-05,0.0045280335,0.0012683574,6.299512e-05,0.001019386,3.8552447e-05,9.103571e-05,3.4675788e-05,0.0011540506,0.00024740968,0.0014671112,0.0374906,0.0036423435,7.8843885e-05,0.9004770999999999,596.31,84.0,0.61182815,160581,-0.05826497,-0.04743938,-0.071750164,-0.070387185,-0.057801165,-0.04774176,-0.056485265,-0.057819292,-0.04581754,-0.061237924,-0.062443957,-0.05796391,-0.069405526,-0.060022313,-0.054989293,-0.07511271,-0.04944019,-0.051407613,0.18022579,77.4
0.002026996,0.0007035641,1.8220846e-05,0.0030765762,0.00027559313,0.002352459,0.003202496,5.4162436e-05,0.00081065757,2.4794404e-05,8.9796566e-05,3.6650097e-05,0.00032685875,0.00050035195,0.000708757,0.036602046,0.0055493293,5.5604567e-05,0.8891946999999999,597.78,84.0,0.5433372,173117,-0.059323523,-0.0709073,-0.09001116,-0.08585733,-0.08806734,-0.05552345,-0.08073983,-0.07629439,-0.077072255,-0.11173902,-0.07482077,-0.1049361,-0.088579856,-0.07974368,-0.078443795,-0.05714489,-0.07743689,-0.064398065,0.20542684,77.6
