Current Exploration,Episode Length,frame_number,q_val action 0,q_val action 1,q_val action 2,q_val action 3,q_val action 4,q_val action 5,td loss,training_reward
0.9560818,383.91,98798,-0.88957214,-0.7817234,-0.72722185,-0.7866715,-0.72402626,-0.8408964,0.8511725,170.5
0.8667270999999999,381.36,198081,1.0769626,1.1878631,1.1588061,1.0293037,1.070905,1.1854643,0.81751215,151.5
0.7756452999999999,370.68,299283,-0.51555985,-0.7551538,-0.621991,-0.36882684,-0.5665564,-0.8896285,124.01168,123.75
0.6866055999999999,394.8,398216,-1.0238328,-0.56862664,0.8146392,-0.23017806,-0.9020973,-2.9336104,2722.1938,190.25
0.5947317999999999,392.21,500298,-2.5253644,-2.3541968,-2.4314144,-2.5597296,-2.4514008,-2.4801846,2.406973,185.25
0.5045940999999999,378.76,600451,-1.7355119,-1.6462817,-1.2376696,-1.4462689,-1.8126749,-1.8020557,1.7518628,139.5
0.4146327999999999,348.25,700408,-2.0920737,-2.031603,-2.2372363,-2.278744,-2.0607975,-2.3487966,1.319477,61.75
0.3264210999999999,349.61,798421,3.514669,3.4563668,3.5367813,3.562637,3.542358,3.3203712,1.6533601,67.25
0.2354985999999999,413.12,899446,10.411313,10.04747,9.887541,9.178517,10.983129,10.568399,3.9323194,164.0
0.14559579999999983,413.25,999338,14.26103,14.470175,14.520246,13.289375,15.117825,15.308263,228.06964,154.25
0.09991054055158324,539.93,1098656,16.921309,16.990013,16.973425,15.451543,13.88266,16.934185,2661.025,176.5
0.09972571603677222,399.34,1199180,20.920307,20.400715,20.042435,19.164797,18.6811,19.071527,1.8758783,144.25
0.099535291113381,436.37,1302750,25.294544,25.053629,25.73068,25.219362,25.582008,25.619112,121.563675,89.25
0.09936052012257406,439.29,1397806,26.52646,30.560818,30.169674,30.294743,29.28422,28.240112,5.962398,94.75
0.09917010439223697,407.26,1501371,30.925333,30.549938,30.965807,31.09016,30.655237,31.136732,1.5641292,135.5
0.09898453156281921,428.24,1602302,34.46796,32.99624,35.129154,33.490658,33.0299,34.81806,170.22205,131.5
0.098802797752809,406.52,1701145,33.55861,32.24353,31.908335,31.743544,31.941235,31.891094,778.2268,73.5
0.0986132811031665,433.58,1804221,35.57688,35.38576,32.302917,34.412434,34.46578,34.75588,1.7120392,128.5
0.09843682410623085,443.35,1900194,35.714268,35.89779,35.50751,35.220997,35.776886,35.69315,1.5242572,158.5
0.09824723207354444,441.63,2003311,35.902733,35.844143,35.84302,36.679585,35.82998,35.991306,1.2780746,158.25
0.09806550561797753,359.5,2102150,34.130432,34.027237,34.38969,34.440712,33.628967,34.161743,1.4477175,60.25
0.09788103963227783,403.82,2202479,29.400589,31.300747,29.563854,31.770721,29.517403,30.16472,533.25275,93.25
0.09769192196118488,488.07,2305338,32.811172,32.600666,32.173687,32.496525,32.41039,32.35047,2.00637,173.5
0.09751174545454545,412.23,2403334,31.676704,31.578981,31.460804,31.554052,31.39579,31.744013,117.33638,141.5
0.09732339816138917,453.62,2505774,29.37334,32.662945,30.573322,29.592707,32.81956,32.512115,5.0496325,149.5
0.09714182614913176,505.77,2604529,35.387146,34.25018,35.861897,32.771015,34.756554,36.17489,4.968865,173.0
0.09696367027579163,373.98,2701426,38.15567,38.443077,34.574017,37.8343,37.95988,34.52145,419.50772,70.5
0.09677761940755873,434.44,2802617,34.57675,34.994686,34.257984,35.023743,32.874714,32.461464,471.92603,133.25
0.09659430071501532,456.14,2902322,34.821415,35.24473,34.77589,33.552227,34.08501,34.986298,1.5598146,143.25
0.0964060986721144,459.56,3004683,37.273586,36.838097,37.207077,36.323105,36.992527,38.207916,2.7387884,175.0
0.09622348049029622,419.94,3104007,35.524952,35.519848,35.112053,35.4444,35.365974,35.47717,365.8025,97.0
0.09603651031664964,426.49,3205698,37.9295,38.063404,37.66623,37.60728,37.83906,38.125614,379.48386,167.25
0.09585776792645556,415.16,3302914,37.278145,37.521126,35.77471,36.819637,37.43094,35.745552,1.7574278,117.5
0.0956665064351379,371.8,3406939,37.192474,37.348225,35.63514,36.861862,37.682358,37.79672,646.04193,88.5
0.09548586108273749,444.81,3505190,36.70308,37.89407,37.42585,36.330055,37.923306,36.61871,4.1522894,122.0
0.09529738324821246,344.39,3607701,36.359966,36.469444,36.120625,34.98103,36.573967,36.137127,6.6286836,23.75
0.0951145039836568,472.2,3707167,35.56325,35.41332,35.412083,35.403362,35.347404,35.444824,2.2342718,136.75
0.09493329785495404,458.54,3805723,34.508892,34.206257,36.9324,34.333977,34.667812,34.216732,573.36865,147.0
0.09475056935648621,436.19,3905107,34.742336,34.50865,33.547115,35.04363,33.027016,34.111366,2.482457,155.5
