Current Exploration,Episode Length,TD Loss,frame_number,q_val action 0,q_val action 1,q_val action 2,q_val action 3,training_reward
0.09196762226762002,1134.37,0.032684065,5418721,2.8678792,2.8640742,2.8747811,2.8691509,35.74
0.0917772708886619,1169.77,0.025178405,5522251,2.8325832,2.832766,2.8114853,2.8376367,37.43
0.09159615485188968,1218.47,0.021201449,5620758,2.9574716,2.947533,2.9535232,2.9615865,39.38
0.09140532543411645,1144.02,0.025971336,5724548,2.8524015,2.8524375,2.8474789,2.8535256,35.49
0.09121657548518897,1136.05,0.019379128,5827207,2.8428617,2.8372598,2.8241813,2.8505204,34.75
0.09103687885597549,1091.9,0.022353837,5924942,2.8622203,2.857969,2.8579953,2.8544917,32.47
0.09084055934627171,1175.69,0.015674526,6031718,2.7715993,2.781746,2.774485,2.7695055,36.73
0.0906684708886619,1176.14,0.02275863,6125315,2.7454922,2.7386546,2.7459006,2.7409577,37.0
0.09047545903983657,1049.77,0.023867086,6230292,2.7663898,2.771633,2.7550552,2.768311,30.78
0.0902871595505618,1121.65,0.018910117,6332706,2.7697887,2.75569,2.7658806,2.7629683,35.07
0.09009924433094996,1137.98,0.021585666,6434911,2.7100852,2.7072468,2.7045207,2.7082798,35.78
0.08992423248212461,1178.46,0.022221193,6530098,2.7913156,2.7914438,2.7894428,2.7966764,37.31
0.08973194320735445,1168.22,0.026645927,6634682,2.6582928,2.6653373,2.6631494,2.6699026,38.1
0.0895597517875383,1162.29,0.022526475,6728335,2.7092752,2.7039573,2.7027133,2.7119818,36.49
0.08936901430030644,1159.56,0.018636215,6832075,2.6200166,2.6234434,2.6074617,2.6195657,38.22
0.08918767763023494,1191.68,0.02200028,6930702,2.695485,2.6891901,2.679969,2.6925197,40.43
0.08899919979570992,1293.4,0.018757468,7033213,2.6334994,2.6296473,2.6266477,2.63056,45.2
0.0888031744637385,1199.23,0.021242706,7139829,2.6634104,2.6692083,2.652293,2.6607325,38.04
0.08862550582226762,1205.79,0.020201854,7236461,2.7220347,2.7251008,2.7223938,2.7177324,39.55
0.0884424684371808,1122.56,0.017262766,7336013,2.7765167,2.7781408,2.758177,2.770853,35.91
0.08826815158324822,1144.65,0.017480573,7430822,2.7155778,2.723926,2.705227,2.723354,37.17
0.08807674116445352,1160.34,0.023048952,7534928,2.7733788,2.7716703,2.757835,2.7669106,36.84
0.08789181184882533,1114.22,0.019853786,7635509,2.772426,2.7753356,2.7609997,2.772486,34.7
0.08770121593462717,1161.83,0.022299556,7739172,2.7401066,2.744651,2.736981,2.7432683,35.84
0.0875083364657814,1178.72,0.02340423,7844077,2.8585815,2.8593504,2.8446681,2.8592968,37.54
0.08733520183861082,1181.6,0.023497703,7938243,2.8362725,2.8333774,2.8314478,2.8390434,37.5
0.08713775158324821,1187.92,0.02461018,8045634,2.7989855,2.802539,2.7946055,2.8010108,37.6
0.08695837671092951,1208.25,0.020002473,8143194,2.7051382,2.7018943,2.6867552,2.6941168,40.91
0.08678790990806946,1168.07,0.022561463,8235909,2.700179,2.7026966,2.7001786,2.7173834,39.78
0.08658013217568948,1239.47,0.023271894,8348917,2.7414143,2.7408407,2.7314446,2.7410762,42.86
0.08639866128702758,1241.26,0.022332858,8447617,2.7572467,2.7579856,2.7527633,2.7449944,42.88
0.0862121544433095,1261.03,0.02190192,8549056,2.7208145,2.717518,2.7136269,2.7202108,43.95
0.08603452257405517,1239.13,0.020209584,8645668,2.6494737,2.655793,2.6531851,2.6448731,40.79
0.08585179591419817,1235.02,0.024196139,8745051,2.6057389,2.6056976,2.607214,2.6051812,39.94
0.08567792032686415,1181.3,0.02388056,8839620,2.631027,2.6246717,2.6253147,2.6284223,39.47
0.08548961164453524,1253.77,0.024576988,8942039,2.6308293,2.63681,2.6272595,2.6330924,42.67
0.08530496731358529,1266.79,0.020060997,9042465,2.8131695,2.814468,2.810571,2.8030674,44.23
0.0851187417773238,1246.45,0.022628382,9143751,2.7051632,2.698493,2.7018113,2.698312,41.93
0.08492717139938713,1312.2,0.021341283,9247944,2.8895118,2.8915024,2.8675833,2.8866427,44.15
0.08473453830439223,1162.79,0.023490507,9352715,2.7225566,2.7124453,2.697213,2.708614,36.47
0.08456115730337078,1169.55,0.0209027,9447015,2.692916,2.6762223,2.6718419,2.6874774,36.79
0.084379291113381,1233.5,0.025815284,9545930,2.8608902,2.858977,2.843538,2.8398159,40.56
