action_prob 0,action_prob 1,action_prob 10,action_prob 11,action_prob 12,action_prob 13,action_prob 14,action_prob 15,action_prob 16,action_prob 17,action_prob 2,action_prob 3,action_prob 4,action_prob 5,action_prob 6,action_prob 7,action_prob 8,action_prob 9,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 10,q_val_action 11,q_val_action 12,q_val_action 13,q_val_action 14,q_val_action 15,q_val_action 16,q_val_action 17,q_val_action 2,q_val_action 3,q_val_action 4,q_val_action 5,q_val_action 6,q_val_action 7,q_val_action 8,q_val_action 9,td_loss,training_reward
0.04039841,0.042638823,0.063659504,0.04203675,0.031940855,0.07038128,0.06625945,0.024042131,0.093566984,0.03755799,0.07914222,0.06025673,0.05489658,0.067654476,0.02543689,0.044301745,0.06633718,0.08949197,1.0,559.6,0.0,0,11192,-0.3231262,-0.26915154,0.131632,-0.28337243,-0.5580307,0.23201057,0.17166144,-0.84210885,0.5167609,-0.3960306,0.34932986,0.07669762,-0.016465753,0.19249673,-0.78571624,-0.2308926,0.17283389,0.47223216,0,67.0
0.04039841,0.042638823,0.063659504,0.04203675,0.031940855,0.07038128,0.06625945,0.024042131,0.093566984,0.03755799,0.07914222,0.06025673,0.05489658,0.067654476,0.02543689,0.044301745,0.06633718,0.08949197,1.0,589.675,0.0,0,23587,-0.3231262,-0.26915154,0.131632,-0.28337243,-0.5580307,0.23201057,0.17166144,-0.84210885,0.5167609,-0.3960306,0.34932986,0.07669762,-0.016465753,0.19249673,-0.78571624,-0.2308926,0.17283389,0.47223216,0,76.5
0.04039841,0.042638823,0.063659504,0.04203675,0.031940855,0.07038128,0.06625945,0.024042131,0.093566984,0.03755799,0.07914222,0.06025673,0.05489658,0.067654476,0.02543689,0.044301745,0.06633718,0.08949197,1.0,583.9,0.0,0,35034,-0.3231262,-0.26915154,0.131632,-0.28337243,-0.5580307,0.23201057,0.17166144,-0.84210885,0.5167609,-0.3960306,0.34932986,0.07669762,-0.016465753,0.19249673,-0.78571624,-0.2308926,0.17283389,0.47223216,0,76.0
0.04039841,0.042638823,0.063659504,0.04203675,0.031940855,0.07038128,0.06625945,0.024042131,0.093566984,0.03755799,0.07914222,0.06025673,0.05489658,0.067654476,0.02543689,0.044301745,0.06633718,0.08949197,1.0,595.6875,0.0,0,47655,-0.3231262,-0.26915154,0.131632,-0.28337243,-0.5580307,0.23201057,0.17166144,-0.84210885,0.5167609,-0.3960306,0.34932986,0.07669762,-0.016465753,0.19249673,-0.78571624,-0.2308926,0.17283389,0.47223216,0,80.5
0.051455356,0.04850598,0.061648518,0.049170878,0.04611,0.07022837,0.06768886,0.046876617,0.061068643,0.04799359,0.048795514,0.041984603,0.058110423,0.049277596,0.052008506,0.087766096,0.0567593,0.05455113,0.9902853999999999,607.94,0.0,2.3654869,60794,1.095505,1.0364774,1.2762395,1.0500919,0.9858203,1.4065428,1.369712,1.0023093,1.2667888,1.0258578,1.0424287,0.8920933,1.2171354,1.0522599,1.1061977,1.6294656,1.1936098,1.1539288,1.2815132,84.6
0.04711056,0.0627196,0.051771935,0.052121993,0.0549243,0.06026801,0.05560865,0.04447097,0.055084076,0.05829385,0.053604048,0.04967666,0.07018933,0.054604832,0.06083608,0.061443556,0.051813312,0.0554583,0.9785746,626.14,0.0,2.3505392,73806,0.81213105,1.0983077,0.90648204,0.9132209,0.96558976,1.0584352,0.97797257,0.7544704,0.9684945,1.0251304,0.94125843,0.8651691,1.2108301,0.9597562,1.0678169,1.0777527,0.9072809,0.9752652,1.2619367,90.4
0.05556715,0.05118384,0.055097684,0.053850535,0.052316412,0.056962363,0.06318027,0.05423939,0.053101372,0.05685791,0.058136784,0.05509815,0.04760692,0.052191272,0.052656792,0.066804625,0.053995527,0.061153054,0.9671247999999999,629.41,0.0,2.153962,86528,0.9476683,0.86549985,0.9391837,0.9162884,0.8873863,0.9724668,1.076068,0.92348343,0.9022788,0.9706315,0.9928746,0.93919224,0.7930541,0.88499135,0.8938713,1.1318483,0.91897726,1.0434558,1.14494,91.2
0.05067881,0.06456865,0.050390493,0.059821304,0.055378072,0.07476983,0.04748894,0.056523982,0.054352645,0.05299032,0.05291167,0.052909598,0.05175759,0.048230514,0.052357025,0.065481044,0.05232961,0.057059936,0.9534483999999999,666.9,nan,2.077139,101724,1.0541837,1.296405,1.0484784,1.2200377,1.1428596,1.4430903,0.9891728,1.1633409,1.1241691,1.0987852,1.0972998,1.0972606,1.0752469,1.0046678,1.086762,1.3104365,1.0862383,1.1727781,1.3064731,103.2
0.050424203,0.060000885,0.049919125,0.06790695,0.046616238,0.058364887,0.054898158,0.05139093,0.06212044,0.04716033,0.04988156,0.04233434,0.055679187,0.046676017,0.054368462,0.09394479,0.059814245,0.04849916,0.940348,686.25,nan,2.1025777,116280,1.0110838,1.1849718,1.0010166,1.308751,0.9325615,1.157327,1.0960923,1.0300742,1.2196876,0.9441656,1.0002638,0.83621114,1.1102189,0.933843,1.0863967,1.6333197,1.1818564,0.9721589,1.240137,107.2
0.055173334,0.06410951,0.051250473,0.051594157,0.062672324,0.06364798,0.042143945,0.049348593,0.0578757,0.05444121,0.049443275,0.049975183,0.053580675,0.054606795,0.060718242,0.064372815,0.053438716,0.061607078,0.9286551999999999,684.78,nan,2.0394769,129272,1.2276571,1.3777701,1.1539022,1.1605858,1.3550973,1.3705449,0.95826834,1.1160866,1.2754749,1.2142987,1.1180034,1.1287038,1.1983658,1.2173356,1.3234215,1.3818687,1.1957128,1.337954,1.2625353,106.6
