action_prob 0,action_prob 1,action_prob 2,action_prob 3,action_prob 4,action_prob 5,action_prob 6,action_prob 7,action_prob 8,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 2,q_val_action 3,q_val_action 4,q_val_action 5,q_val_action 6,q_val_action 7,q_val_action 8,td_loss,training_reward
0.09244786,0.09277215,0.120169856,0.142238,0.08624277,0.17038687,0.10031895,0.12956087,0.06586263,1.0,300.6,0.0,0,6012,-0.0507679,-0.0472662,0.21149346,0.38008904,-0.12024644,0.56065875,0.030941837,0.28673822,-0.38984144,0,285.0
0.09244786,0.09277215,0.120169856,0.142238,0.08624277,0.17038687,0.10031895,0.12956087,0.06586263,1.0,304.425,0.0,0,12177,-0.0507679,-0.0472662,0.21149346,0.38008904,-0.12024644,0.56065875,0.030941837,0.28673822,-0.38984144,0,300.0
0.09244786,0.09277215,0.120169856,0.142238,0.08624277,0.17038687,0.10031895,0.12956087,0.06586263,1.0,298.8666666666667,0.0,0,17932,-0.0507679,-0.0472662,0.21149346,0.38008904,-0.12024644,0.56065875,0.030941837,0.28673822,-0.38984144,0,285.0
0.09244786,0.09277215,0.120169856,0.142238,0.08624277,0.17038687,0.10031895,0.12956087,0.06586263,1.0,300.375,0.0,0,24030,-0.0507679,-0.0472662,0.21149346,0.38008904,-0.12024644,0.56065875,0.030941837,0.28673822,-0.38984144,0,275.625
0.09244786,0.09277215,0.120169856,0.142238,0.08624277,0.17038687,0.10031895,0.12956087,0.06586263,1.0,299.45,0.0,0,29945,-0.0507679,-0.0472662,0.21149346,0.38008904,-0.12024644,0.56065875,0.030941837,0.28673822,-0.38984144,0,273.5
0.09244786,0.09277215,0.120169856,0.142238,0.08624277,0.17038687,0.10031895,0.12956087,0.06586263,1.0,305.33,0.0,0,36545,-0.0507679,-0.0472662,0.21149346,0.38008904,-0.12024644,0.56065875,0.030941837,0.28673822,-0.38984144,0,278.5
0.09244786,0.09277215,0.120169856,0.142238,0.08624277,0.17038687,0.10031895,0.12956087,0.06586263,1.0,304.13,0.0,0,42590,-0.0507679,-0.0472662,0.21149346,0.38008904,-0.12024644,0.56065875,0.030941837,0.28673822,-0.38984144,0,276.5
0.09244786,0.09277215,0.120169856,0.142238,0.08624277,0.17038687,0.10031895,0.12956087,0.06586263,1.0,306.54,0.0,0,48586,-0.0507679,-0.0472662,0.21149346,0.38008904,-0.12024644,0.56065875,0.030941837,0.28673822,-0.38984144,0,283.0
0.052066732,0.1757131,0.05679351,0.052241143,0.0823124,0.057730988,0.39524657,0.07043583,0.057459757,0.9954675999999999,310.06,0.0,1.4181422,55036,-0.7364224,0.47990385,-0.6495266,-0.7330783,-0.27842695,-0.6331545,1.2905611,-0.4342467,-0.6378639,6.3328857,298.5
0.078537084,0.16588704,0.06046563,0.091281176,0.073665336,0.059876334,0.29851562,0.10036156,0.071410246,0.9898452999999999,313.38,0.0,1.0816287,61283,0.21342082,0.9611571,-0.04807497,0.36379454,0.14938231,-0.057868715,1.5486722,0.45862925,0.118291326,20.897026,304.0
0.013214409,0.14954232,0.013481319,0.013360047,0.025046224,0.007975833,0.7251089,0.03139353,0.02087747,0.9843202,308.77,0.0,0.6970724,67422,0.03389552,2.460167,0.05389251,0.044856343,0.6733107,-0.4709962,4.0389094,0.8991895,0.49125823,7.8824205,301.5
0.024625571,0.42385373,0.013692183,0.019385459,0.030842727,0.009380924,0.40558097,0.044780202,0.02785809,0.9785115999999999,312.86,0.0,0.68047816,73876,1.7747375,4.6203403,1.1877769,1.5354753,1.9998529,0.8096301,4.5762725,2.372718,1.8980753,14.259756,298.0
0.028966324,0.47221437,0.006174506,0.021866279,0.06237532,0.008296477,0.31548986,0.06064457,0.023972202,0.9734626,309.0,0.0,0.60997945,79486,2.197501,4.9888,0.65179604,1.9163126,2.9645367,0.94719815,4.5854936,2.936397,2.008262,10.469309,290.5
0.009967682,0.524847,0.016749881,0.023763282,0.03450556,0.017174285,0.32597318,0.03436038,0.012658804,0.9680121999999999,305.06,0.0,0.55787605,85542,2.6768296,6.6405883,3.1958725,3.545623,3.918602,3.2208948,6.1642966,3.9143856,2.9158344,19.727081,277.5
0.0058562714,0.29286206,0.022076271,0.0045240386,0.014369374,0.004439257,0.60323536,0.041587252,0.011050079,0.9628074999999999,300.42,0.0,0.63960594,91325,3.6481745,7.560363,4.9751644,3.3900661,4.54576,3.3711483,8.2829685,5.6084547,4.2830987,29.972971,268.0
0.0104529895,0.22081874,0.042014513,0.005667172,0.057976097,0.0060021747,0.59383833,0.052013993,0.011216014,0.9572086,301.24,0.0,0.463268,97546,4.0093913,7.0598454,5.4005184,3.3971934,5.722534,3.4546254,8.04911,5.614016,4.079846,7.156224,264.5
0.011044906,0.5498005,0.009188175,0.0032731954,0.03227179,0.009170238,0.3220228,0.05288542,0.01034298,0.9514197999999999,301.02,130.0,0.46874985,103978,5.141382,9.048968,4.95733,3.9251792,6.2136064,4.955376,8.514035,6.7075405,5.075721,16.112074,265.0
0.012876691,0.33429092,0.020596225,0.0012991931,0.05339806,0.0035510885,0.5178858,0.04968587,0.0064160833,0.9459108999999999,306.13,130.0,0.38919148,110099,5.897934,9.154527,6.367623,3.6042583,7.3202896,4.6097693,9.59227,7.2482357,5.201323,7.1333885,273.0
0.026252242,0.20038399,0.018176628,0.001573798,0.037859928,0.006735144,0.62087995,0.07868747,0.009450789,0.9408042999999999,302.31,130.0,0.37310565,115773,7.2467527,9.279237,6.879138,4.432493,7.6128945,5.8863406,10.410139,8.344485,6.2250996,8.424511,273.5
0.033634357,0.36377054,0.05520328,0.005100483,0.08917046,0.0113342665,0.3384392,0.07082735,0.03252009,0.935101,307.85,130.0,0.48467377,122110,7.32385,9.704825,7.8193245,5.4376373,8.298852,6.2361326,9.632647,8.068547,7.29016,19.92182,282.5
0.02251893,0.4350129,0.03254368,0.0013870532,0.048710562,0.0063365423,0.37405232,0.060981415,0.018456506,0.9298449999999999,304.04,130.0,0.35497636,127950,7.977824,10.938844,8.346051,5.1906495,8.749364,6.709801,10.787864,8.974037,7.778885,10.470604,277.5
0.029052543,0.49814084,0.027726253,0.0033748192,0.044180732,0.017159762,0.30081713,0.06465221,0.01489564,0.9243081999999999,301.24,130.0,0.34537047,134102,9.011189,11.852966,8.964463,6.858425,9.430372,8.484651,11.348586,9.811106,8.343152,8.011549,272.0
0.03275097,0.13648997,0.05337399,0.0041146846,0.11835779,0.0075954855,0.5215606,0.105069,0.02068748,0.9187524999999999,301.76,130.0,0.3311967,140275,9.428706,10.856025,9.917097,7.354336,10.713486,7.9673276,12.196599,10.594391,8.969302,12.735446,270.5
0.05046428,0.33634788,0.026101246,0.0012966065,0.10420098,0.0041144127,0.29514754,0.17124075,0.011086272,0.9130482999999999,308.4,130.0,0.23858275,146613,10.442993,12.339873,9.7837105,6.781478,11.168049,7.9362235,12.209203,11.664798,8.927435,9.810521,273.5
