Current Exploration,Episode Length,frame_number,q_val action 0,q_val action 1,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,td loss,training_reward
0.09474663840653728,447.21,3907245,123.33069,121.56056,120.17475,122.25401,122.97941,119.74275,125.61376,123.40455,122.50037,1574.3025,768.5
0.09456391726251277,522.42,4006625,107.88198,106.04735,103.274475,108.80563,106.48337,103.070625,110.953575,104.1392,108.66442,403.25882,885.0
0.09437930051072523,453.31,4107036,110.578964,111.7174,108.47886,114.34304,111.917755,109.15533,117.74899,110.14338,113.52755,202.11055,825.5
0.09420087803881512,422.35,4204078,100.64666,100.34017,97.820404,104.4696,101.46195,98.162224,108.17458,98.75503,104.12389,340.3379,736.0
0.09401537507660879,444.6,4304971,140.85815,139.51051,138.01344,140.06685,138.82399,136.78033,146.6172,138.81908,136.59694,363.8223,694.5
0.09382883146067415,432.35,4406430,111.72738,111.332,109.89741,115.16321,112.190254,109.9458,118.669334,108.59259,111.8632,159.10631,819.0
0.09363992522982635,419.35,4509174,102.64872,101.30667,100.017784,107.16797,103.56322,98.94246,109.394806,98.9807,105.36345,214.27155,694.5
0.09346249560776303,460.61,4605676,78.9344,79.11652,78.205635,81.54681,79.25865,78.18855,84.77603,76.47098,80.91398,118.72674,731.0
0.09327770970377937,476.32,4706179,112.80695,111.25526,110.75704,116.79089,113.08594,108.510765,121.11368,107.679955,112.3853,270.13123,745.5
0.09309347538304392,426.95,4806382,115.843025,115.92086,114.38364,119.74192,115.49989,113.0495,124.16501,110.243515,118.14793,3576.9778,746.5
0.09290362410623085,464.72,4909640,141.20422,141.2712,140.1451,144.65143,142.59473,139.07098,148.0345,137.02885,142.97867,227.86092,796.5
0.09271834361593463,432.93,5010412,104.30066,103.63504,102.44205,105.60283,104.181114,102.7476,110.08668,102.9148,104.806335,195.72871,759.0
0.09253681940755873,447.91,5109141,98.715836,99.719795,97.1785,101.769936,98.540565,97.405945,105.44533,96.13795,101.055466,91.63228,852.5
0.09235593135852911,426.02,5207524,83.721664,84.296,82.15579,84.096016,83.19935,82.50192,88.330444,81.74662,83.27225,139.59837,822.0
0.09216921491317671,454.81,5309077,97.74688,97.12456,94.062805,97.85212,95.95142,95.53205,104.23644,94.7981,97.573746,368.56567,837.5
