action_prob 0,action_prob 1,action_prob 2,action_prob 3,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 2,q_val_action 3,td_loss,training_reward
0.21545172,0.12236243,0.44557875,0.21660712,1.0,212.1,0.0,0,4242,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.2
0.21545172,0.12236243,0.44557875,0.21660712,1.0,211.075,0.0,0,8443,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.25
0.21545172,0.12236243,0.44557875,0.21660712,1.0,213.13333333333333,0.0,0,12788,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.2833333333333334
0.21545172,0.12236243,0.44557875,0.21660712,1.0,212.0875,0.0,0,16967,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.2375
0.21545172,0.12236243,0.44557875,0.21660712,1.0,208.0,0.0,0,20800,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.17
0.21545172,0.12236243,0.44557875,0.21660712,1.0,210.92,0.0,0,25334,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.25
0.21545172,0.12236243,0.44557875,0.21660712,1.0,211.26,0.0,0,29569,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.25
0.21545172,0.12236243,0.44557875,0.21660712,1.0,214.68,0.0,0,34256,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.31
0.21545172,0.12236243,0.44557875,0.21660712,1.0,218.77,0.0,0,38844,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.43
0.21545172,0.12236243,0.44557875,0.21660712,1.0,222.68,0.0,0,43068,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.48
0.21545172,0.12236243,0.44557875,0.21660712,1.0,215.37,0.0,0,46871,-0.56656015,-1.1323097,0.16007699,-0.5612117,0,1.35
0.21359934,0.24426778,0.28379643,0.25833648,0.9993808,211.19,0.0,1.3614688,50688,-0.22279459,-0.08863148,0.06136055,-0.03263373,1.0474992,1.26
0.22624242,0.26267037,0.23932837,0.27175885,0.9954639999999999,207.84,0.0,1.2714814,55040,0.0042374004,0.1535301,0.060466744,0.18754534,1.0165681,1.2
0.24088536,0.26782557,0.24321088,0.24807815,0.9916776999999999,204.03,0.0,1.22959,59247,-0.073138274,0.032876477,-0.06353058,-0.043715667,1.017906,1.1
0.2593146,0.25315374,0.24074236,0.24678935,0.9877140999999999,205.83,0.0,1.1490717,63651,0.07297818,0.04893325,-0.0013364609,0.023471393,1.0023273,1.19
0.23837034,0.26323983,0.24614295,0.2522469,0.983764,211.69,0.0,1.1228107,68040,-0.007756861,0.09148314,0.02433011,0.048825976,1.0018764,1.28
0.2542277,0.25986263,0.23751321,0.24839641,0.9797688999999999,217.91,0.0,1.0831826,72479,0.068105504,0.090028316,9.845849e-05,0.044901054,1.000853,1.41
0.24723043,0.26189163,0.2459916,0.24488635,0.9757575999999999,218.96,0.0,1.1072598,76936,0.052808903,0.11041898,0.047785558,0.04328244,0.9996894,1.41
