Current Exploration,Episode Length,frame_number,q_val action 0,q_val action 1,q_val action 10,q_val action 11,q_val action 12,q_val action 13,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,q_val action 9,td loss,training_reward
0.09603330929519918,797.97,3207439,8.916139,8.924599,8.874546,8.9778805,8.849787,8.85748,8.883268,8.894046,8.8232155,8.959123,8.992919,8.935238,8.92229,8.923022,5.5420747,587.0
0.09584293769152197,664.65,3310980,8.478191,8.353826,8.457073,8.546483,8.405936,8.580454,8.470899,8.4753685,8.279456,8.38017,8.499236,8.494034,8.565308,8.599057,8.162237,475.6
0.0956611873340143,740.18,3409832,7.8795495,7.947778,8.012493,7.809564,7.9370146,8.060407,8.013534,7.9538035,7.909316,7.9177113,7.969875,8.060807,8.033409,7.9567714,35.054245,436.9
0.0954686277834525,630.69,3514563,7.7717876,7.768576,7.942328,7.8215017,7.7942424,7.830391,7.7814355,7.778292,7.9112515,7.7848053,7.8469505,7.823131,7.7369266,7.854191,4.592217,444.4
0.09528649499489275,729.95,3613623,7.450607,7.646174,7.487442,7.493291,7.577873,7.5506463,7.6805854,7.4933953,7.487341,7.5077596,7.530461,7.5288916,7.825676,7.4946976,2.9190345,485.1
0.09510713299284985,710.52,3711176,7.795109,7.621805,7.996837,7.8125796,7.722579,7.9311385,7.681812,7.7256784,7.7666106,7.7494864,7.585183,7.650238,7.8056574,7.6953006,4.6050234,461.3
0.09492877854954035,693.6,3808181,7.173497,7.082903,7.074997,7.0844197,7.1987066,7.1658573,7.1536865,7.073105,7.0518794,7.1675515,7.185255,7.1275125,7.077846,7.075865,2.8301961,474.5
0.0947218557711951,726.34,3920724,6.8717356,6.8279605,6.7666593,7.033627,6.8548036,6.962402,6.927854,6.7024837,6.8555565,6.9112315,6.9325557,6.8248262,6.9206667,6.886501,7.8432307,492.4
0.09454463207354444,605.97,4017114,6.64635,6.536153,6.6623755,6.6652727,6.6432557,6.7285895,6.657653,6.650754,6.6425056,6.611418,6.6634383,6.6095233,6.76839,6.6405077,10.691341,405.1
0.09435863452502553,676.95,4118276,6.883904,6.9146733,6.919383,6.9123116,6.8585324,6.922876,6.8850617,6.933451,6.9519644,6.930097,6.8200603,6.8690815,6.9428515,6.9335694,8.101788,436.5
0.09416938815117468,744.51,4221205,6.622335,6.608423,6.6469936,6.567946,6.6690335,6.65545,6.6168213,6.660777,6.7068253,6.6352787,6.694496,6.570731,6.669002,6.802127,7.928363,466.2
0.0939920302349336,804.27,4317668,6.4769354,6.4411516,6.491117,6.436183,6.4118376,6.4340296,6.5501995,6.436781,6.4044,6.5581536,6.589512,6.4201717,6.454747,6.33078,14.549941,455.8
0.09381458590398366,695.21,4414178,6.188612,6.2002954,6.3149266,6.212568,6.292351,6.2644825,6.1885524,6.174192,6.184854,6.2052913,6.217282,6.242742,6.232253,6.151193,6.668564,426.0
0.09361895771195097,715.32,4520578,5.9197783,5.9377284,5.8743916,5.9369373,5.979363,6.030923,5.9222913,5.948648,5.9152446,5.8874598,5.829993,6.0349913,5.946588,5.9844165,2.2847624,508.3
0.09344110704800818,737.07,4617309,6.1584377,6.099184,6.0526557,6.1193824,6.1410666,6.10015,6.08381,6.0889707,6.2053466,6.1792955,6.0929327,6.0374956,6.1026874,6.1097217,9.819741,543.5
0.09325593135852911,710.58,4718024,6.044034,6.104901,6.1287985,5.980498,6.102728,6.04007,6.0020676,6.015812,6.0780063,6.1378293,6.1222568,6.100153,6.1217456,6.1714196,3.8337002,471.6
0.09307014525025536,721.79,4819071,6.035968,5.8524632,5.936206,5.782778,5.9828863,5.8245378,5.8358507,5.847271,5.873351,5.7769423,5.8921866,5.7597957,5.933582,5.9012647,19.295876,478.9
0.0928806506639428,693.11,4922135,5.8658056,6.0110946,6.2443757,6.176347,5.994228,5.9980965,5.976952,6.0086894,5.965307,5.9648113,5.999866,6.1015153,5.968707,6.0988092,2.1574318,441.8
0.0927039491317671,717.05,5018241,6.1123996,6.0923195,6.210002,6.106287,6.2900753,6.1826687,6.1617413,6.048167,6.154991,6.192519,6.1537766,6.1222467,6.0436606,6.280381,4.6709013,481.9
0.09251375587334014,647.54,5121685,5.851093,5.871111,5.8168616,5.803138,5.770107,5.844874,5.7261324,5.740262,5.756706,5.8358107,5.8015957,5.8015814,5.741906,5.8367143,7.776365,466.6
0.09232682614913176,670.53,5223354,5.6389365,5.622937,5.6318192,5.5597873,5.6150155,5.604202,5.5757275,5.610796,5.547746,5.569632,5.59598,5.5920763,5.637201,5.567785,9.750461,433.0
0.09214777854954034,655.11,5320736,5.3499775,5.433741,5.4058,5.379434,5.318228,5.377798,5.3960004,5.3611517,5.3491907,5.4346595,5.416011,5.360318,5.4054356,5.421844,3.0362585,443.2
0.0919579364657814,739.02,5423989,5.685519,5.6361356,5.6605363,5.743839,5.68645,5.677121,5.635605,5.586639,5.6095586,5.6260967,5.655862,5.681374,5.6277323,5.7760863,2.4941354,520.4
0.09177527967313585,692.07,5523334,5.2416506,5.2523146,5.2712774,5.2689304,5.1736064,5.3006573,5.1809654,5.222817,5.2318525,5.2721834,5.27522,5.308197,5.2547956,5.222877,3.8510437,483.8
0.09159171092951993,642.81,5623175,5.2151523,5.220377,5.2084966,5.227325,5.2734675,5.2271814,5.2026377,5.225875,5.1735873,5.1918554,5.2462573,5.1978364,5.2493014,5.2303243,6.1028457,428.5
0.0914040126659857,615.8,5725262,5.6134143,5.509107,5.418638,5.495365,5.3508964,5.470958,5.447389,5.503684,5.5174475,5.502878,5.4041724,5.607831,5.380661,5.4840746,5.7292004,399.7
0.09121652951991828,679.2,5827232,5.368977,5.435659,5.395247,5.3302064,5.311891,5.3226657,5.3551035,5.3535824,5.284179,5.502162,5.392315,5.391861,5.2893796,5.290199,13.380802,478.3
0.09103712890704801,771.87,5924806,5.064205,5.22082,5.2630906,5.0048513,5.0187993,4.935853,4.999352,5.0041046,5.078893,4.9610643,5.020041,5.0955043,5.076742,5.0316887,4.708321,538.5
0.09085555321756895,712.66,6023563,4.9959126,4.9407825,5.008525,5.0143237,5.05623,4.9223,4.975528,5.096192,4.893118,4.9929233,4.9687643,4.9498005,5.088402,5.045958,18.698496,480.8
0.09066539305413687,664.52,6126989,5.201148,5.1344347,5.233583,5.181228,5.1632,5.254609,5.209237,5.0994797,5.179909,5.1692505,5.1828647,5.1948757,5.254399,5.1352215,6.6397166,441.9
0.09047928886618999,683.3,6228209,5.5635405,5.5473084,5.534003,5.763193,5.47319,5.5640564,5.5562553,5.514952,5.6423187,5.5032525,5.606806,5.7882605,5.384216,5.502783,7.1512084,478.9
0.09029975587334015,627.23,6325855,5.2959104,5.2559743,5.263546,5.2829404,5.3357577,5.2637496,5.3020515,5.280787,5.32231,5.294184,5.252315,5.154208,5.263044,5.3043,13.055481,455.1
0.09011526598569969,676.02,6426197,5.322442,5.298729,5.4459834,5.288689,5.2773952,5.4063067,5.3600407,5.379422,5.3712735,5.3205924,5.3678985,5.3178406,5.289231,5.404809,3.1201084,481.4
