Current Exploration,Episode Length,TD Loss,frame_number,q_val action 0,q_val action 1,q_val action 10,q_val action 11,q_val action 12,q_val action 13,q_val action 14,q_val action 15,q_val action 16,q_val action 17,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,q_val action 9,training_reward
0.9608203,625.49,0.12949991,93533,0.61827224,0.6075023,0.6105074,0.6294089,0.61119926,0.60146195,0.6150514,0.6333131,0.63058597,0.63530105,0.6114458,0.62824506,0.61385524,0.6304263,0.61811286,0.6053528,0.6335104,0.615745,83.8
0.8694324999999999,727.08,0.25920808,195075,0.6507945,0.65760034,0.666244,0.66072845,0.6482776,0.653496,0.6565739,0.654856,0.64858556,0.642357,0.6544799,0.6413358,0.66595346,0.65997106,0.641506,0.66621053,0.67286307,0.64255744,137.2
0.7788762999999999,768.5,0.26095492,295693,0.6290052,0.5998336,0.60456413,0.6298919,0.6282695,0.60183907,0.6355677,0.6028332,0.64292526,0.5964743,0.60485864,0.6158997,0.6061803,0.60685444,0.61687976,0.6232719,0.61205125,0.6109808,150.0
0.6888709,923.94,0.3329979,395699,0.8929466,0.866664,0.9123983,0.89445883,0.89758,0.8484192,0.87483907,0.8890377,0.86933,0.8641725,0.89946795,0.90514404,0.8993454,0.8752513,0.8485634,0.8821256,0.8830444,0.8674509,212.6
0.5972103999999999,900.82,0.34000647,497544,1.9687471,1.9941052,2.0296755,2.0022552,2.0093446,1.9663792,1.9816947,1.9887011,1.9757141,1.9550781,1.9494088,1.9839383,2.007606,1.9769415,1.9686731,2.010617,1.9488851,1.9807571,192.8
0.5043240999999999,950.77,0.34463334,600751,4.083528,4.0723667,4.0782175,4.1013174,4.07747,4.0973964,4.1145177,4.0946536,4.0451446,4.0730233,4.0884542,4.0534587,4.057889,4.070977,4.089709,4.1270695,4.079414,4.0880327,214.6
0.41981049999999986,854.31,0.37800103,694655,6.253783,6.2862754,6.2259655,6.269195,6.2842264,6.2755556,6.2334037,6.230094,6.276687,6.2683997,6.2256837,6.1777153,6.2675014,6.267241,6.160762,6.291168,6.270052,6.2619543,189.2
0.3241683999999999,891.45,0.3233497,800924,8.706535,8.686887,8.701969,8.697861,8.659953,8.63681,8.662679,8.691946,8.771636,8.645936,8.705538,8.658801,8.687829,8.686251,8.707356,8.681437,8.754558,8.632236,206.6
0.23504499999999984,813.34,0.37410614,899950,10.066278,10.093099,10.103312,10.116607,10.091288,10.128384,10.013715,10.095283,10.14225,10.047193,10.070151,10.073987,10.116912,10.129203,10.071963,10.058595,10.114349,10.080277,187.0
0.1435266999999999,751.63,0.37357703,1001637,11.756355,11.820989,11.776581,11.812453,11.819106,11.890759,11.737039,11.780757,11.870941,11.799912,11.826015,11.7907295,11.84446,11.800941,11.807071,11.795046,11.829795,11.854566,143.8
0.09990262717058222,776.72,0.32946044,1102960,14.443188,14.504089,14.539635,14.481808,14.513242,14.484291,14.49828,14.496145,14.467799,14.505374,14.482782,14.475824,14.52063,14.518673,14.470078,14.501382,14.467862,14.50848,153.8
0.09973061225740552,855.69,0.28685454,1196517,15.432526,15.414903,15.448794,15.336548,15.387842,15.42719,15.386184,15.416964,15.432097,15.400355,15.429509,15.436458,15.363896,15.432214,15.378349,15.437175,15.401577,15.452641,162.8
0.0995321875383044,741.57,0.29886523,1304438,18.359243,18.316769,18.416182,18.380325,18.360458,18.36856,18.306734,18.387478,18.325592,18.29814,18.443558,18.350203,18.36064,18.337551,18.412579,18.360544,18.382639,18.336678,168.4
0.09934747701736465,723.52,0.27327296,1404900,20.45886,20.415018,20.367994,20.486675,20.416265,20.403255,20.35429,20.40191,20.359535,20.409391,20.40287,20.461138,20.3913,20.450842,20.35617,20.295864,20.368029,20.428019,163.4
0.09916324269662921,794.69,0.2533619,1505103,20.225107,20.279394,20.279882,20.252666,20.294916,20.24786,20.23426,20.213667,20.28487,20.313591,20.30068,20.261335,20.227253,20.282822,20.314888,20.300896,20.34455,20.298048,156.4
0.09897922717058223,840.28,0.2715639,1605187,20.254936,20.272371,20.282997,20.244158,20.202236,20.285742,20.339958,20.234104,20.275024,20.279173,20.285784,20.2962,20.282843,20.279053,20.272047,20.2793,20.308744,20.268353,169.0
0.09879422247191011,840.47,0.28890198,1705809,19.156029,19.130554,19.17253,19.055092,19.154257,19.172373,19.205282,19.18773,19.128143,19.206215,19.141148,19.119526,19.184782,19.165867,19.201416,19.221594,19.165638,19.161295,189.8
0.09861489540347293,800.85,0.18902595,1803343,17.861399,17.901451,17.874172,17.848154,17.895197,17.874678,17.839762,17.847198,17.855402,17.86006,17.860525,17.883253,17.890017,17.869345,17.854856,17.881395,17.84687,17.84803,189.0
0.09843966659856997,780.73,0.26339263,1898648,16.570362,16.605602,16.612335,16.599379,16.613289,16.562721,16.59287,16.631039,16.572395,16.632965,16.614426,16.606178,16.617718,16.580288,16.622816,16.60406,16.584993,16.618076,202.0
0.09824185781409601,750.71,0.23892313,2006234,15.303961,15.29287,15.339734,15.301396,15.329505,15.348406,15.32309,15.32226,15.335753,15.325527,15.328683,15.323731,15.3487625,15.383276,15.349018,15.358736,15.3351555,15.301961,190.4
0.09806020122574055,752.48,0.35497668,2105035,14.874747,14.891236,14.866346,14.869771,14.894134,14.919086,14.852976,14.883122,14.879934,14.902326,14.8709,14.868612,14.902442,14.888736,14.88119,14.848134,14.893598,14.865844,198.8
0.09787460081716037,799.26,0.26839745,2205981,14.751325,14.751803,14.737513,14.757978,14.743822,14.736404,14.766915,14.789402,14.7287655,14.774333,14.783873,14.809384,14.783786,14.73952,14.800202,14.751583,14.793713,14.800326,207.0
0.09769172706843718,732.29,0.19299723,2305444,13.818136,13.786508,13.803393,13.796745,13.813929,13.794264,13.770424,13.803435,13.800344,13.816141,13.833845,13.77015,13.828368,13.844798,13.795919,13.802614,13.783231,13.797068,196.0
0.09751238161389172,751.07,0.3131786,2402988,12.854063,12.840442,12.829847,12.82113,12.870939,12.879736,12.831637,12.838992,12.864397,12.856464,12.833778,12.8065605,12.8818445,12.880791,12.809988,12.831357,12.843676,12.8536215,209.0
0.09732620572012257,672.44,0.31651825,2504247,12.636045,12.642678,12.658631,12.628348,12.636162,12.648662,12.682282,12.617517,12.657559,12.655435,12.6728325,12.657516,12.673511,12.690431,12.639919,12.661205,12.658982,12.668312,193.2
0.0971452735444331,654.57,0.27632067,2602654,12.170278,12.160298,12.179934,12.1568365,12.197776,12.173531,12.206907,12.224845,12.152912,12.18875,12.2280655,12.183311,12.189709,12.201091,12.225564,12.235504,12.176063,12.199587,180.4
0.09695257425944842,658.43,0.305726,2707461,12.692706,12.685732,12.725807,12.694415,12.741328,12.702954,12.741273,12.739742,12.709696,12.702971,12.747823,12.717756,12.703461,12.708504,12.723146,12.728559,12.6850605,12.746947,180.8
