action_prob 0,action_prob 1,action_prob 10,action_prob 11,action_prob 12,action_prob 13,action_prob 14,action_prob 15,action_prob 16,action_prob 17,action_prob 2,action_prob 3,action_prob 4,action_prob 5,action_prob 6,action_prob 7,action_prob 8,action_prob 9,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 10,q_val_action 11,q_val_action 12,q_val_action 13,q_val_action 14,q_val_action 15,q_val_action 16,q_val_action 17,q_val_action 2,q_val_action 3,q_val_action 4,q_val_action 5,q_val_action 6,q_val_action 7,q_val_action 8,q_val_action 9,td_loss,training_reward
0.031585414,0.03736493,0.077073574,0.072474405,0.07027681,0.040030424,0.06699845,0.061009556,0.07049396,0.047812387,0.05995742,0.04068725,0.037655883,0.05725425,0.050318208,0.057739526,0.05188572,0.06938184,1.0,610.85,0.0,0,12217,-0.4598812,-0.29184386,0.432184,0.37065688,0.3398654,-0.22293687,0.29209304,0.19845393,0.34295046,-0.045291692,0.18105814,-0.20666173,-0.2840873,0.13492537,0.0057905316,0.14336547,0.03646712,0.32704872,0,86.0
0.031585414,0.03736493,0.077073574,0.072474405,0.07027681,0.040030424,0.06699845,0.061009556,0.07049396,0.047812387,0.05995742,0.04068725,0.037655883,0.05725425,0.050318208,0.057739526,0.05188572,0.06938184,1.0,642.8,0.0,0,25712,-0.4598812,-0.29184386,0.432184,0.37065688,0.3398654,-0.22293687,0.29209304,0.19845393,0.34295046,-0.045291692,0.18105814,-0.20666173,-0.2840873,0.13492537,0.0057905316,0.14336547,0.03646712,0.32704872,0,86.5
0.031585414,0.03736493,0.077073574,0.072474405,0.07027681,0.040030424,0.06699845,0.061009556,0.07049396,0.047812387,0.05995742,0.04068725,0.037655883,0.05725425,0.050318208,0.057739526,0.05188572,0.06938184,1.0,653.7166666666667,0.0,0,39223,-0.4598812,-0.29184386,0.432184,0.37065688,0.3398654,-0.22293687,0.29209304,0.19845393,0.34295046,-0.045291692,0.18105814,-0.20666173,-0.2840873,0.13492537,0.0057905316,0.14336547,0.03646712,0.32704872,0,97.33333333333333
0.05437318,0.050390206,0.05339552,0.0572873,0.051574204,0.06162197,0.051440883,0.0544059,0.043745182,0.048232585,0.055971224,0.056593034,0.05336064,0.062758796,0.058793183,0.074798934,0.054300606,0.05695667,0.9978894999999999,654.3125,0.0,2.6252463,52345,-0.37603304,-0.4521072,-0.39417714,-0.323825,-0.42888236,-0.25088555,-0.43147075,-0.37543133,-0.5935224,-0.49586916,-0.34706628,-0.3360181,-0.39483058,-0.2326053,-0.29787812,-0.05710043,-0.3773686,-0.32961315,1.237225,97.0
0.048717197,0.05581484,0.0475552,0.048747785,0.050108477,0.05952721,0.05609496,0.06085057,0.056396313,0.04636826,0.044946965,0.07353873,0.057559364,0.07583387,0.03973748,0.059985667,0.056928597,0.06128852,0.987265,641.5,0.0,1.9017518,64150,0.6798004,0.8158081,0.6556595,0.6804281,0.7079586,0.8802019,0.82081425,0.90218943,0.82617205,0.63038343,0.5992515,1.0915805,0.84658515,1.1223134,0.47606316,0.88787395,0.8355661,0.9093609,1.3447261,93.8
0.056483608,0.05150404,0.060497668,0.047061678,0.04638708,0.053053714,0.061378535,0.04928895,0.04598786,0.055885386,0.051299054,0.053683884,0.05219812,0.06621773,0.064453356,0.067927346,0.05142368,0.0652683,0.9768699999999999,634.83,0.0,0.9405043,75700,0.90840316,0.816113,0.9770576,0.7259118,0.71147376,0.84575766,0.9915129,0.7721527,0.7028302,0.8977556,0.8121251,0.8575656,0.82949924,1.0674009,1.0403945,1.0928915,0.81455153,1.0529592,1.3038124,90.2
0.05285692,0.051155668,0.044614065,0.056784824,0.051530544,0.059209473,0.043576904,0.058706783,0.068056524,0.04767155,0.05439885,0.05274081,0.056657534,0.055118125,0.06710796,0.07241035,0.056984656,0.0504185,0.9648018999999999,633.97,0.0,0.44445187,89109,1.1357558,1.1030405,0.9662163,1.2074363,1.1103419,1.2492487,0.9426944,1.2407224,1.3885058,1.0325019,1.1645103,1.1335567,1.2051922,1.1776458,1.3744699,1.4505165,1.2109492,1.0885254,1.2801784,94.8
0.060462736,0.03858624,0.053007156,0.05630989,0.061719965,0.057786897,0.054380037,0.06266097,0.052468725,0.043903425,0.055194173,0.05820688,0.0430761,0.054154515,0.05804068,0.05658418,0.059752725,0.07370476,0.9520272999999999,640.8,152.5,0.25298768,103303,1.9376851,1.4885536,1.8060848,1.8665282,1.9582654,1.89242,1.831655,1.9733967,1.7958752,1.6176503,1.8465153,1.8996614,1.5986263,1.8274993,1.8968021,1.8713874,1.9258727,2.1357253,1.5605615,94.4
0.057803735,0.055407744,0.048355073,0.051053874,0.045187898,0.086414225,0.06570514,0.05715611,0.05841033,0.035601508,0.0528475,0.04502537,0.03658523,0.044615258,0.05642549,0.06504611,0.06914219,0.06921723,0.9381132999999999,664.18,152.5,0.15248665,118763,2.2631202,2.220786,2.0846379,2.1389482,2.016896,2.665219,2.391244,2.251853,2.2735596,1.7784548,2.1734772,2.0132928,1.8057114,2.0041425,2.2389877,2.3811631,2.442232,2.4433165,1.5330303,104.0
0.08343435,0.03331805,0.033632997,0.0529067,0.09255224,0.054408457,0.05754552,0.053335793,0.06618093,0.06367824,0.060715094,0.04150106,0.061459664,0.05484515,0.043472294,0.04441986,0.035380587,0.06721303,0.9247869999999999,694.2,152.5,0.12991135,133570,3.2061965,2.2882357,2.2976441,2.7506664,3.3099096,2.778656,2.8347127,2.758744,2.9745288,2.9359794,2.8883288,2.5078554,2.9005175,2.7866502,2.5542603,2.575823,2.3482997,2.9900036,1.5634404,114.2
