action_prob 0,action_prob 1,action_prob 2,action_prob 3,action_prob 4,action_prob 5,current_exploration,episode_length,evaluation_reward,expert_loss,frame_number,q_val_action 0,q_val_action 1,q_val_action 2,q_val_action 3,q_val_action 4,q_val_action 5,td_loss,training_reward
0.13189109,0.22706978,0.12198154,0.22353965,0.18028559,0.115232415,1.0,379.15,0.0,0,7583,0.17738032,0.72066116,0.0992735,0.70499265,0.48994607,0.04235491,0,150.0
0.13189109,0.22706978,0.12198154,0.22353965,0.18028559,0.115232415,1.0,368.425,0.0,0,14737,0.17738032,0.72066116,0.0992735,0.70499265,0.48994607,0.04235491,0,145.625
0.13189109,0.22706978,0.12198154,0.22353965,0.18028559,0.115232415,1.0,371.46666666666664,0.0,0,22288,0.17738032,0.72066116,0.0992735,0.70499265,0.48994607,0.04235491,0,136.25
0.13189109,0.22706978,0.12198154,0.22353965,0.18028559,0.115232415,1.0,373.4625,0.0,0,29877,0.17738032,0.72066116,0.0992735,0.70499265,0.48994607,0.04235491,0,140.0
0.13189109,0.22706978,0.12198154,0.22353965,0.18028559,0.115232415,1.0,369.5,0.0,0,36950,0.17738032,0.72066116,0.0992735,0.70499265,0.48994607,0.04235491,0,136.75
0.13189109,0.22706978,0.12198154,0.22353965,0.18028559,0.115232415,1.0,367.89,0.0,0,44372,0.17738032,0.72066116,0.0992735,0.70499265,0.48994607,0.04235491,0,133.0
0.9393655,0.011955916,0.011925375,0.011846493,0.013328112,0.011578588,0.9978489999999999,376.53,0.0,0.22627605,52390,3.4266617,-0.93731666,-0.9398746,-0.9465112,-0.8286674,-0.9693853,3.227034,149.75
0.97884524,0.0032108214,0.0035272737,0.0050697383,0.0024850117,0.0068618283,0.9905328999999999,382.31,0.0,0.026018392,60519,6.933892,1.2140448,1.3080435,1.6708074,0.95779586,1.9734923,36.268627,169.5
0.9756565,0.002012494,0.009381803,0.0050102603,0.0041559143,0.0037829566,0.9841348,377.51,0.0,0.030553607,67628,7.6365914,1.4528557,2.9922526,2.3649685,2.1780136,2.083987,1385.6099,170.5
0.9696404,0.0018610205,0.0081973355,0.0072198557,0.0048921127,0.008189361,0.9771840999999999,384.01,0.0,0.029428951,75351,8.924271,2.6684704,4.1511545,4.0241804,3.6349695,4.1501813,2964.299,187.25
0.99232507,0.0006663543,0.0017810623,0.0025133034,0.00074267964,0.0019715524,0.9696691,393.29,0.0,0.008923627,83701,9.394652,2.0886676,3.071812,3.4161994,2.197111,3.173423,290.93753,205.5
0.99651235,0.0003753662,0.0006376598,0.0009843232,0.00041745137,0.0010727808,0.9631873,385.13,0.0,0.004518343,90903,10.994139,3.110024,3.639927,4.074076,3.21629,4.1601315,307.18842,188.25
0.9864835,0.0013279422,0.0034829532,0.0034750719,0.0015382482,0.0036922584,0.9567496,375.37,0.0,0.0063256877,98056,10.40344,3.7929244,4.7571745,4.754909,3.939938,4.815532,140095.86,166.0
0.9990159,6.118842e-05,0.00027035287,0.00034478505,0.00012140821,0.00018634797,0.9494577999999999,385.3,0.0,0.0013089494,106158,13.164946,3.4643776,4.950148,5.193341,4.149578,4.578035,35468.6,172.0
0.9993481,5.2106116e-05,0.00018374933,0.00020286853,8.981039e-05,0.00012342041,0.9427401999999999,382.71,0.0,0.00094259577,113622,13.848268,3.9866915,5.246981,5.3459673,4.53111,4.849006,288397.03,155.0
0.99970955,2.3283108e-05,6.581915e-05,9.293928e-05,3.675636e-05,7.171149e-05,0.9358164999999999,376.14,0.0,0.00043033034,121315,13.414275,2.7467828,3.7859662,4.1310015,3.2033668,3.871706,130254.56,147.75
0.99961203,5.633385e-05,0.00010328775,8.627192e-05,3.1618903e-05,0.000110386194,0.9289224999999999,380.72,0.0,0.00033330222,128975,13.497595,3.7137682,4.319991,4.1399765,3.1362274,4.3864574,2290261.8,149.5
0.9996437,7.586697e-05,0.00012274714,4.8858972e-05,5.075067e-05,5.809793e-05,0.9219915999999999,386.2,0.0,6.717501e-05,136676,12.97137,3.4851968,3.966342,3.0451539,3.0831404,3.2183456,6310949.0,157.75
0.9999963,3.2911808e-07,1.2385678e-06,8.9319326e-07,4.6444967e-07,7.830913e-07,0.9151722999999999,380.95,0.0,-6.043335e-06,144253,16.128119,1.2012728,2.5265672,2.199659,1.5457098,2.068106,73869.88,146.5
0.999998,1.8319346e-07,5.7657047e-07,4.982864e-07,3.3357634e-07,4.0536057e-07,0.9085203999999999,380.22,0.0,-7.81086e-06,151644,15.780219,0.26749787,1.4140533,1.2681301,0.86682665,1.0617318,36306284.0,150.5
0.99999547,4.3112993e-07,1.3636183e-06,1.1183427e-06,7.569864e-07,7.689116e-07,0.9017388999999999,378.64,0.0,-3.0937704e-06,159179,15.48052,0.8236688,1.9751562,1.7768618,1.3866044,1.4022346,2752404700.0,138.25
0.9999995,6.091693e-08,1.3822044e-07,1.07330976e-07,5.305653e-08,1.053888e-07,0.8946721,380.56,0.0,-9.483613e-06,167031,17.80244,1.1886855,2.008025,1.7550936,1.0505337,1.7368311,15027180.0,138.25
1.0,1.795201e-08,3.0994876e-08,2.8326259e-08,1.5480236e-08,3.4834915e-08,0.8879067999999999,378.72,0.0,-9.901473e-06,174548,17.984192,0.1486277,0.6947488,0.604715,0.0004909001,0.8115471,1381516.0,136.75
1.0,1.7009498e-08,1.682121e-08,3.0751384e-08,1.574244e-08,1.7703785e-08,0.880975,379.97,0.0,-1.0013531e-05,182250,17.084667,-0.80482763,-0.81595755,-0.21266304,-0.882239,-0.76482105,2513249.2,137.25
1.0,1.2848654e-08,2.2951557e-08,3.3195168e-08,2.5124029e-08,1.6869405e-08,0.8745615999999999,377.32,0.0,-9.872864e-06,189376,17.19582,-0.9742063,-0.3940603,-0.025042407,-0.303621,-0.7019437,108804380.0,134.25
1.0,3.2126384e-09,8.594925e-09,3.86748e-09,4.535379e-09,7.467571e-09,0.8674920999999999,380.52,0.0,-1.0013531e-05,197231,16.971052,-2.5851216,-1.6010412,-2.3996115,-2.240306,-1.7416439,94672940.0,146.5
1.0,1.6677442e-09,2.8019684e-09,3.9494275e-09,9.0797075e-10,2.2835092e-09,0.8607906999999999,376.46,0.0,-1.0013531e-05,204677,16.889498,-3.3222957,-2.8034468,-2.460197,-3.9303117,-3.0080557,18541406.0,146.5
1.0,6.750954e-10,1.8651969e-09,1.4964111e-09,4.4210127e-10,7.9077184e-10,0.8535493,381.75,0.0,-1.0013531e-05,212723,16.272156,-4.8440113,-3.8277433,-4.04804,-5.267327,-4.6858563,51649148.0,167.25
1.0,2.369696e-09,2.886334e-09,1.8997257e-09,2.5785092e-09,3.1651786e-09,0.8467290999999999,380.51,0.0,-1.0013531e-05,220301,15.555754,-4.30475,-4.1075244,-4.525803,-4.2203007,-4.0153036,14092808.0,173.75
1.0,4.3155862e-10,5.06629e-10,4.1741782e-10,4.71789e-10,4.8462984e-10,0.8397667,386.61,0.0,-1.0013531e-05,228037,15.833295,-5.730322,-5.569947,-5.763639,-5.641194,-5.6143403,39127140.0,183.0
1.0,7.631937e-10,9.1758784e-10,7.357264e-10,1.0717136e-09,9.1103247e-10,0.8328735999999999,384.65,0.0,-1.0013531e-05,235696,15.268366,-5.7251434,-5.540906,-5.761796,-5.3856406,-5.548077,43524332.0,173.75
1.0,1.9363992e-10,2.807788e-10,2.8054964e-10,1.8190127e-10,1.6017283e-10,0.8262045999999998,384.29,0.0,-1.0013531e-05,243106,16.54549,-5.8195305,-5.4479637,-5.4487796,-5.8820667,-6.0092764,82286104.0,169.25
1.0,2.2122894e-10,4.5363543e-10,3.3103395e-10,3.8314646e-10,2.654555e-10,0.8191881999999999,381.79,0.0,-1.0013531e-05,250902,16.305647,-5.926176,-5.20808,-5.5231524,-5.3769574,-5.743927,75361580.0,157.0
1.0,7.085513e-10,8.110669e-10,3.6850137e-10,6.3449956e-10,4.9310744e-10,0.8123851,381.6,0.0,-1.0013531e-05,258461,16.194242,-4.8735557,-4.738427,-5.527335,-4.9839425,-5.2360525,44669364.0,147.75
1.0,3.5955675e-10,3.2755004e-10,4.282533e-10,4.0354484e-10,2.5612543e-10,0.8054649999999999,381.13,0.0,-1.0013531e-05,266150,15.6854725,-6.060677,-6.1539073,-5.8858333,-5.9452605,-6.399881,24363432000.0,142.5
1.0,4.49605e-10,4.4228346e-10,4.628615e-10,5.319502e-10,2.4991614e-10,0.7991766999999999,374.41,0.0,-1.0013531e-05,273137,15.160211,-6.3624406,-6.3788595,-6.333383,-6.19426,-6.9496856,51228120.0,132.75
1.0,5.8506266e-10,5.709508e-10,4.8904797e-10,3.8391967e-10,5.156418e-10,0.7924726,374.8,0.0,-1.0013531e-05,280586,15.245186,-6.0141163,-6.0385327,-6.1933746,-6.435403,-6.1404233,16098481.0,137.75
1.0,2.7252503e-10,3.5585004e-10,2.8585556e-10,4.841919e-10,2.4031632e-10,0.7854112,375.3,0.0,-1.0013531e-05,288432,15.035069,-6.988221,-6.7214417,-6.9404645,-6.41347,-7.1139956,590138050.0,135.75
1.0,2.0751681e-10,1.8756953e-10,1.9303478e-10,2.7998517e-10,1.7270388e-10,0.7788321999999999,372.81,0.0,-1.0013531e-05,295742,14.78112,-7.5146885,-7.6157517,-7.5870304,-7.215164,-7.6983213,24454310000.0,132.25
