Current Exploration,Episode Length,TD Loss,frame_number,q_val action 0,q_val action 1,q_val action 10,q_val action 11,q_val action 12,q_val action 13,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,q_val action 9,training_reward
0.09639444371807968,679.97,0.6940628,3011022,2.2284083,2.2392905,2.2430935,2.240721,2.2370453,2.240916,2.2489653,2.242485,2.236692,2.2382662,2.2465672,2.2329767,2.2334125,2.23312,426.0
0.09620761511746681,684.85,0.7174469,3112636,2.1208487,2.1171284,2.1300454,2.132295,2.133753,2.1461995,2.1429863,2.1258826,2.1188815,2.1267483,2.12391,2.1363156,2.1286573,2.1312962,421.4
0.09602103105209397,667.01,0.65724736,3214117,2.0455375,2.0631804,2.0508575,2.0489278,2.0602603,2.0601628,2.060759,2.053821,2.0536,2.0484529,2.056722,2.0629103,2.0525086,2.0549774,423.6
0.09584555587334015,644.04,0.6993696,3309556,1.9802188,1.99112,1.9804916,1.97087,1.9919934,1.9783384,1.9812381,1.9884593,1.974603,1.9865804,1.9822359,1.9896896,1.9831599,1.9799646,429.5
0.09565659080694587,724.52,0.80146146,3412332,1.9710262,1.9680494,1.9736913,1.9578439,1.9622009,1.9749919,1.9704233,1.9739273,1.9785123,1.9663371,1.9622481,1.9638149,1.9816799,1.9613116,485.6
0.09546545434116445,689.66,0.74180335,3516289,1.7837597,1.7896295,1.7852206,1.7842262,1.7885774,1.7911034,1.7816477,1.7919025,1.7903283,1.7774552,1.7883079,1.7952503,1.7863853,1.78171,473.1
0.09528498181818182,681.36,0.7131527,3614446,1.814364,1.8140018,1.8070999,1.8306957,1.8126262,1.8177803,1.8186963,1.8089013,1.8182921,1.7970636,1.8090501,1.8283563,1.8145632,1.8133181,455.6
0.09509734606741574,701.33,0.5573253,3716499,1.6975226,1.699926,1.7052774,1.6975487,1.6993566,1.6952137,1.695471,1.6944143,1.6933076,1.6981244,1.7096236,1.6852629,1.7022727,1.7061313,426.2
0.0949136100102145,742.7,0.8394493,3816431,1.7357554,1.729314,1.7330822,1.7186185,1.7415776,1.7335895,1.7353854,1.7325377,1.7378913,1.7312614,1.7246969,1.7198298,1.7347012,1.7380466,478.4
0.09472846189989785,657.06,0.58868176,3917131,1.6507324,1.6519393,1.6496854,1.6475683,1.6585994,1.6627614,1.654901,1.6590116,1.6554024,1.6433803,1.6541036,1.6622715,1.6597116,1.652456,441.4
0.0945478404494382,649.28,0.5923285,4015369,1.6221634,1.6375853,1.620965,1.6330462,1.6365353,1.6319013,1.6301069,1.6333449,1.6330506,1.6215835,1.6404959,1.6281941,1.6335789,1.6248106,437.9
0.09436050255362616,675.39,0.5730433,4117260,1.511649,1.5125684,1.5134734,1.507522,1.5198787,1.5206823,1.5149667,1.5073662,1.5116729,1.5144637,1.5152638,1.5139883,1.5113493,1.5160191,457.9
0.09417546659856997,637.24,0.7970679,4217899,1.447693,1.4558221,1.4519072,1.4438955,1.4618745,1.4569416,1.454506,1.4652692,1.4668328,1.4539708,1.4570476,1.4611124,1.4658171,1.4576054,447.1
0.09399095832482125,659.1,0.561293,4318251,1.4457893,1.453696,1.4557323,1.4490298,1.4432392,1.4550933,1.4533314,1.4470671,1.4564393,1.4453353,1.4621378,1.4514043,1.4530319,1.4554467,464.7
0.09380740061287028,606.56,0.67925143,4418086,1.3996135,1.4059833,1.4011835,1.3974468,1.4001251,1.4056618,1.4154016,1.4090686,1.4098308,1.3932666,1.4036,1.3998897,1.4073126,1.4055407,401.0
0.0936210482124617,701.81,0.60888886,4519441,1.5143572,1.5107961,1.5212984,1.5080326,1.5140574,1.5116659,1.5095156,1.507926,1.5151728,1.5059193,1.5097519,1.5035628,1.5134745,1.5146785,478.5
0.09343639101123596,687.86,0.69048166,4619874,1.4826056,1.4826045,1.487437,1.4734629,1.4877979,1.4743826,1.4924546,1.4864995,1.4839194,1.4870961,1.4857647,1.4876239,1.4840844,1.48307,423.8
0.09325582839632278,706.74,0.6128576,4718080,1.5187778,1.535432,1.5403955,1.5117246,1.531505,1.5311177,1.5283499,1.533029,1.533754,1.5262613,1.530653,1.5264466,1.5313834,1.5276916,453.9
0.09306710970377936,680.45,0.7507026,4820722,1.6127169,1.6162306,1.6237143,1.61352,1.6187049,1.620951,1.6208065,1.61346,1.6182474,1.6102774,1.6133597,1.6232996,1.6259093,1.6149949,437.3
0.09288539611848826,664.7,0.90374976,4919554,1.7197201,1.7214346,1.7292172,1.7147112,1.7203314,1.720503,1.724463,1.7203666,1.7282692,1.7144098,1.7222244,1.7242811,1.7242255,1.725038,441.3
0.09270137139938713,718.71,0.47097042,5019643,1.7315595,1.7354118,1.7317221,1.729352,1.7233133,1.7324883,1.7280027,1.7256979,1.7230135,1.7248342,1.7389946,1.7334847,1.7291627,1.7274323,471.6
0.09251914484167519,772.45,0.6190935,5118754,1.6738473,1.6736733,1.6755211,1.6611164,1.6728389,1.6733619,1.6751999,1.6714667,1.6741786,1.6689173,1.6795691,1.6792729,1.6858453,1.6799003,481.1
0.09232794218590398,583.58,0.6043394,5222747,1.7102621,1.7051525,1.7101862,1.7028413,1.710598,1.706423,1.7056011,1.7077328,1.7044754,1.7032002,1.70379,1.7028846,1.7125636,1.7076916,417.2
