Current Exploration,Episode Length,frame_number,q_val action 0,q_val action 1,q_val action 2,q_val action 3,td loss,training_reward
0.09196723432073545,1143.76,5418932,2.3161967,2.3105888,2.296351,2.2992206,0.022963606,34.08
0.0917773113381001,1154.93,5522229,2.4014282,2.3870494,2.362565,2.382267,0.023400078,36.98
0.09158848049029622,1131.97,5624932,2.3562136,2.356948,2.3536813,2.3805277,0.022528691,34.87
0.09140224208375894,1121.78,5726225,2.3534722,2.357026,2.35805,2.3639503,0.023575146,34.83
0.09121290010214504,1135.64,5829206,2.3670855,2.3749838,2.3562706,2.3942714,0.026403842,35.38
0.09104254913176711,1154.29,5921858,2.480685,2.4744627,2.4557266,2.494177,0.027154813,37.0
0.090843762206333,1184.66,6029976,2.6091928,2.6382744,2.6119568,2.629581,0.022646327,37.97
0.09065116036772217,1177.97,6134730,2.5220747,2.5140512,2.495242,2.519113,0.023146383,36.0
0.09047390541368744,1201.02,6231137,2.421437,2.439315,2.426205,2.433893,0.020096106,36.41
0.09028297854954034,1156.58,6334980,2.457834,2.4623005,2.4152422,2.4626179,0.018876007,35.77
0.09009460183861083,1133.95,6437436,2.5303838,2.521076,2.5127733,2.5281858,0.01989746,33.6
0.08992526026557712,1159.14,6529539,2.5331047,2.5508463,2.5228348,2.5383637,0.021287074,35.38
0.08973614259448418,1135.64,6632398,2.5647833,2.578242,2.5409374,2.5645852,0.020607753,35.6
0.0895474735444331,1148.94,6735013,2.5117474,2.5345516,2.5183465,2.5137887,0.02032608,35.7
0.08936629683350358,1209.5,6833553,2.5671308,2.5718722,2.5528374,2.5727906,0.02177241,39.8
0.08917107681307457,1178.83,6939731,2.534561,2.5470781,2.5244393,2.536601,0.022208123,37.94
0.08898915730337079,1243.03,7038675,2.582884,2.5674715,2.586426,2.5989854,0.021633368,40.94
0.08881368028600613,1221.76,7134115,2.6214151,2.6225986,2.588077,2.5998046,0.022668853,38.08
0.08863247415730337,1224.46,7232671,2.524256,2.5206084,2.5100214,2.5213926,0.021235233,37.09
0.08842742308478038,1115.25,7344196,2.4036746,2.4125044,2.4180565,2.3955004,0.023926958,33.49
0.08824654974463739,1092.22,7442571,2.4363513,2.4389913,2.4389446,2.4351301,0.021645432,35.92
0.08805384678243106,1166.51,7547380,2.4628124,2.4563377,2.4372241,2.4435337,0.024009723,36.02
0.08787089029622064,1211.69,7646888,2.475836,2.4638665,2.4705708,2.4746299,0.022098899,38.5
0.08770550357507662,1301.16,7736840,2.4979546,2.4830952,2.4751043,2.4885845,0.022730442,45.24
0.08749922982635343,1262.65,7849030,2.4636455,2.4696453,2.4528966,2.4664938,0.02373372,39.31
0.0873278382022472,1157.14,7942248,2.5611498,2.557593,2.549215,2.5561998,0.020317936,35.28
0.08714329683350358,1128.31,8042618,2.4463985,2.4395742,2.429609,2.4764924,0.021752352,32.72
0.08694955137895813,1177.66,8147994,2.441247,2.4399529,2.4154766,2.4311182,0.02047776,35.37
0.08677796853932584,1156.94,8241316,2.520021,2.535662,2.514361,2.5096362,0.016368093,35.86
0.08658095035750767,1200.95,8348472,2.4788966,2.4893675,2.4748788,2.4591196,0.020799661,38.82
0.08640383329928499,1191.6,8444804,2.5454862,2.5166085,2.5180793,2.5382147,0.020323282,37.69
0.08622011562819204,1135.96,8544726,2.4772491,2.4574785,2.4517767,2.4859924,0.01809325,35.97
0.08602029172625128,1204.98,8653408,2.5576823,2.5556846,2.545246,2.5688183,0.025692146,40.52
0.0858417368743616,1185.42,8750522,2.5308845,2.5260816,2.5044096,2.5108283,0.022177858,37.91
0.08565234525025536,1284.14,8853530,2.5866325,2.5824583,2.5562484,2.6003332,0.019407434,43.87
0.08548615137895813,1278.94,8943921,2.578322,2.5845609,2.5541704,2.5793207,0.021095632,43.38
0.08529897344228805,1267.35,9045725,2.523219,2.5128827,2.5131242,2.522872,0.021506004,42.33
0.08511404412665985,1248.28,9146306,2.5202878,2.525899,2.5016575,2.5118032,0.024055948,41.68
0.0849342684371808,1216.75,9244084,2.532973,2.4967535,2.492984,2.5320249,0.018417425,40.06
0.0847267113381001,1263.82,9356972,2.40586,2.40084,2.376136,2.4224308,0.020958595,42.0
0.08456284147088866,1291.42,9446099,2.439852,2.438836,2.397426,2.439673,0.02211029,43.52
0.08436652747701737,1199.66,9552872,2.3680425,2.3786774,2.336638,2.3695579,0.020224327,40.59
0.08418817671092951,1182.52,9649875,2.3607302,2.3588865,2.3502545,2.3672595,0.023434859,37.43
0.08399421430030643,1195.35,9755369,2.410507,2.4351528,2.3881671,2.4333556,0.021624498,36.79
0.08381750541368743,1202.9,9851479,2.4852285,2.5112007,2.4618034,2.4982104,0.022716729,38.65
0.08361990439223697,1215.24,9958952,2.4526453,2.4822214,2.4308925,2.4730484,0.026786966,40.27
0.08344338855975486,1192.81,10054957,2.4580832,2.4441822,2.4373507,2.47635,0.020582166,38.41
0.08326246373850868,1205.36,10153360,2.4773858,2.5047083,2.46403,2.507612,0.017270444,39.0
0.0830634175689479,1082.59,10261619,2.4753249,2.5142045,2.4892724,2.4941487,0.02355772,31.62
0.082879528907048,1210.86,10361634,2.3633447,2.3504872,2.3113635,2.3722167,0.020333342,36.49
0.0826895342185904,1166.72,10464970,2.4941728,2.480187,2.4466748,2.4901993,0.022457514,39.0
0.08250946618998978,1218.46,10562907,2.5653558,2.5427043,2.5421045,2.5305765,0.020190887,39.21
0.08233330337078651,1204.06,10658720,2.4809895,2.4545393,2.466518,2.456434,0.024501806,36.23
0.08213384351378958,1208.5,10767204,2.4989715,2.4926147,2.4404225,2.4946017,0.025891647,42.63
0.08194822104187947,1236.07,10868162,2.4381254,2.4372363,2.4111824,2.4197376,0.02182435,41.55
0.08176914770173646,1233.08,10965558,2.4254465,2.418696,2.3792672,2.427458,0.020562362,41.92
0.08159611235955055,1178.97,11059670,2.4078114,2.4467778,2.4257085,2.461093,0.021220837,37.31
0.08141084841675178,1116.42,11160433,2.4831126,2.4789271,2.4671566,2.5059676,0.021045227,33.84
0.08122060551583249,1140.04,11263904,2.483842,2.4926105,2.4388564,2.4845345,0.021032745,35.23
0.08102784739530133,1168.3,11368743,2.4374566,2.4391892,2.4208848,2.4432642,0.023120983,35.67
